"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	
1301	1320	1194	1067	358	1282	413	575	818	413	881	445	312	
1616	1629	1288	1309	424	1406	413	571	818	452	879	447	310	
0	0	0	0	0	0	2	0	0	43	0	0	0	
1217	1266	1012	919	339	1111	359	510	770	336	842	403	254	
84	51	176	130	19	169	7	61	45	34	36	42	56	
315	312	100	260	66	126	45	0	3	39	1	2	0	
84	51	176	130	19	169	9	61	45	77	36	42	56	
1217	1215	1012	919	339	1111	359	510	770	336	842	403	254	
18	13	14	3	0	7	0	0	0	0	0	0	0	
1283	1253	1174	1046	358	1273	368	571	815	413	878	445	310	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	4	0	0	2	0	0	0	2	0	0	0	
45	51	80	35	0	17	1	3	0	3	0	0	0	
31	23	38	3	0	7	1	0	0	0	0	0	0	
1146	1157	1016	986	358	1234	365	566	815	405	878	442	310	
45	9	23	15	0	11	1	2	0	1	0	3	0	
0	3	3	3	0	0	0	0	0	1	0	0	0	
1	1	5	0	0	0	0	0	0	1	0	0	0	
8	4	5	4	0	2	0	0	0	0	0	0	0	
