"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	
1623	1810	1895	2007	2105	2267	2131	2693	1846	2246	2082	2211	2120	2579	1977	1862	1840	1900	1076	2078	2049	2164	1855	2253	2032	1890	1711	1838	1997	2057	1714	1582	2033	2168	2345	2051	2033	2144	2241	2601	1449	1909	1608	1907	1851	1956	2484	2243	2163	2038	1969	2006	1911	1885	2235	1885	2053	2282	2120	2133	1875	2062	2314	2095	2262	1658	1967	886	2192	2218	1961	2579	2126	718	753	914	
1600	1800	1900	2000	2100	2300	2100	2600	1800	2200	2100	2200	2100	2600	2000	1800	1800	1900	1000	2000	2000	2100	1900	2200	2000	1900	1700	1800	1900	2000	1600	1500	2000	2100	2200	2000	1900	2000	2200	2600	1450	1900	1500	1900	1900	1900	2400	2200	2000	2050	1900	2000	1800	1900	2200	1800	2000	2200	2100	2100	1900	2000	2200	2000	2200	1600	2000	800	2200	2200	2000	2500	2100	650	750	950	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
687	927	902	1021	1185	910	965	1297	887	1187	1081	1242	1204	1449	968	920	870	935	461	1115	922	1121	1069	1054	1143	1138	782	1074	1157	1147	943	877	1193	1221	1318	1190	1269	1361	1328	1392	748	1010	830	1070	998	1112	1303	1367	1248	1005	1152	1014	963	966	1199	932	1010	1246	1039	1123	1024	1034	1369	1060	1070	966	1083	397	1067	962	891	1272	934	343	361	771	
38	41	40	53	13	45	42	46	9	31	31	22	10	24	19	18	7	26	15	18	46	50	41	30	32	24	35	18	31	14	53	25	36	39	34	33	15	14	30	26	26	23	25	41	41	18	83	5	19	38	19	75	43	21	21	46	17	18	42	21	20	51	21	4	31	19	26	67	51	117	97	50	70	65	40	67	
875	832	958	926	902	1345	1093	1257	904	982	988	936	886	1127	1013	862	923	939	524	867	1032	929	790	1116	825	738	883	708	712	839	604	598	771	840	848	777	616	625	842	1182	676	867	645	789	861	770	1014	828	733	1007	729	911	794	913	980	822	973	936	1019	956	856	915	810	936	1099	615	891	336	1082	1121	1012	1178	1096	242	349	112	
38	41	40	53	13	45	42	3	9	31	31	22	10	24	19	18	7	26	15	18	46	50	41	30	32	24	35	18	31	14	53	25	36	39	34	33	15	14	30	26	26	23	25	41	41	18	83	5	19	38	19	75	43	21	21	46	17	18	42	21	20	51	21	4	31	19	26	67	51	117	97	50	70	65	40	67	
686	927	902	1021	1185	910	965	1297	887	1187	1081	1242	1204	1449	967	920	870	935	461	1115	922	1121	1069	1054	1143	1138	782	1074	1157	1147	943	877	1193	1220	1317	1190	1269	1361	1328	1392	748	1010	830	1070	998	1112	1303	1367	1248	1005	1152	1014	963	966	1199	932	1010	1246	1039	1123	1024	1033	1369	1060	1070	966	1083	397	1067	962	891	1272	934	343	361	771	
7	12	10	8	7	11	10	8	5	12	11	10	4	22	7	17	10	7	5	13	11	14	13	9	12	5	11	16	8	10	9	8	11	9	13	9	13	12	15	13	9	11	2	5	6	10	14	19	19	13	7	5	10	16	15	16	12	15	16	15	6	4	17	10	13	8	6	3	12	10	10	12	10	3	1	6	
717	956	932	1066	1191	944	997	1292	891	1206	1101	1254	1210	1451	979	921	867	954	471	1120	957	1157	1097	1075	1163	1157	806	1076	1180	1151	987	894	1218	1250	1338	1214	1271	1363	1343	1405	765	1022	853	1106	1033	1120	1372	1353	1248	1030	1164	1084	996	971	1205	962	1015	1249	1065	1129	1038	1080	1373	1054	1088	977	1103	461	1106	1069	978	1310	994	405	400	832	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	9	5	14	8	12	7	12	4	12	7	13	10	14	5	7	9	4	4	4	10	6	8	13	12	15	6	7	10	13	6	10	11	7	8	8	12	8	15	8	4	11	6	8	17	4	6	10	11	5	5	11	7	7	7	10	8	11	8	4	4	10	2	9	7	5	7	1	7	6	8	8	7	1	1	3	
85	112	130	141	136	113	121	165	120	147	140	180	131	196	136	129	121	113	62	125	142	168	150	156	163	147	116	159	180	183	129	141	155	169	178	160	175	188	175	174	101	162	108	145	121	159	176	177	169	143	154	143	115	108	125	96	137	188	130	139	123	120	175	126	123	106	135	46	87	106	103	140	112	39	35	62	
47	65	49	60	85	54	57	83	48	66	59	61	53	82	84	56	54	59	28	73	49	72	54	54	59	44	60	49	53	60	52	60	50	59	74	62	61	74	72	59	33	42	48	52	53	42	61	69	68	63	67	68	71	61	76	52	85	68	62	71	40	68	90	55	59	54	68	21	69	66	49	82	46	18	26	40	
548	738	704	804	926	732	780	991	687	928	853	954	971	1084	708	701	642	739	353	875	730	863	821	803	873	893	581	809	858	850	761	646	925	940	999	917	973	1015	1024	1089	590	754	655	853	772	837	1056	1042	949	783	893	825	766	748	945	769	732	950	821	883	833	850	1051	836	861	783	852	383	919	869	778	1036	795	337	331	703	
11	8	12	18	13	11	13	15	6	18	23	13	17	23	16	10	14	10	8	17	13	19	21	26	28	25	12	12	24	17	15	20	24	27	31	28	22	29	19	24	19	16	11	18	25	27	19	16	21	15	11	8	13	20	17	16	21	12	15	11	12	10	23	13	15	9	14	4	14	11	11	11	9	4	2	8	
9	14	14	10	9	7	8	10	12	11	6	18	13	22	12	6	6	16	6	12	6	11	15	9	8	11	11	11	13	6	3	6	15	9	13	6	9	12	13	7	6	13	4	12	13	8	17	12	15	8	10	12	8	13	11	10	15	11	15	9	15	6	11	8	7	12	12	3	7	3	16	12	11	5	3	5	
4	6	9	7	8	8	3	8	2	12	5	10	8	12	11	7	8	7	1	7	0	8	17	4	7	7	9	15	20	11	8	3	16	19	14	23	9	14	16	26	5	7	11	10	9	20	20	9	9	5	4	3	9	6	10	5	3	2	6	6	6	10	8	3	13	4	2	2	0	4	9	11	5	0	0	5	
8	4	9	12	6	7	8	8	12	12	8	5	7	18	7	5	13	6	9	7	7	10	11	10	13	15	11	14	22	11	13	8	22	20	21	10	10	23	9	18	7	17	10	8	23	23	17	18	6	8	20	14	7	8	14	4	14	7	8	6	5	6	13	4	3	4	13	1	3	4	4	10	9	1	2	6	
