"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	
389	2249	384	2656	2689	2679	2115	1564	1735	2458	1109	1112	2461	1788	1245	1733	2059	2122	
300	2000	386	2500	2500	2200	2000	1500	1500	2200	1000	1000	2200	1500	1000	1500	1800	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
224	1169	292	1564	1537	1486	1377	807	822	1200	604	623	1477	1092	698	973	1114	1084	
24	69	92	58	73	190	54	37	33	62	31	32	65	41	52	21	54	118	
52	762	2	878	890	524	569	656	645	938	365	345	658	367	250	506	632	598	
24	69	92	58	73	190	54	37	33	62	31	32	65	41	52	21	54	118	
224	1169	292	1564	1537	1485	1376	807	822	1200	604	623	1477	1092	697	973	1114	1077	
1	23	1	23	38	15	16	10	6	16	5	4	12	18	19	10	15	17	
247	1215	383	1599	1572	1660	1414	834	849	1246	630	651	1530	1115	730	984	1153	1178	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	11	0	11	19	16	11	9	7	15	4	3	10	9	7	11	12	11	
29	187	10	237	228	237	114	105	107	172	57	80	216	174	98	131	170	185	
12	52	1	72	52	86	57	60	67	57	35	32	79	47	32	39	62	37	
194	889	369	1153	1169	1242	1180	619	611	920	507	497	1124	808	544	720	838	886	
7	21	2	59	33	27	21	15	24	30	12	15	40	23	19	28	31	21	
2	14	1	20	17	9	15	14	10	11	7	6	12	12	6	17	11	13	
3	17	0	13	16	16	3	3	6	12	0	7	20	9	8	15	8	9	
0	24	0	34	38	27	13	9	17	29	8	11	29	33	16	23	21	16	
