"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	
126	327	1441	1743	1787	1862	1832	1543	1609	1607	1897	449	1149	1727	1638	1384	878	285	1404	1975	1415	1609	1426	1483	1544	
120	315	1350	1700	1800	1900	1900	1600	1650	1650	1950	420	1150	1750	1600	1400	860	285	1450	2050	1550	1600	1550	1500	1550	
14	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	238	1244	1456	1534	1589	1456	1344	1376	1329	1601	348	840	1338	1318	1019	697	170	1147	1604	1165	1381	1237	1296	1359	
0	13	58	62	52	68	181	36	103	120	95	18	56	223	91	279	104	96	102	112	137	73	77	62	53	
1	64	48	182	214	243	263	220	171	201	254	19	254	189	191	102	59	19	201	334	248	146	236	142	138	
14	13	58	62	52	68	181	36	103	120	95	53	56	223	91	279	104	96	102	112	137	73	77	62	53	
105	238	1244	1456	1534	1589	1456	1344	1376	1329	1601	348	840	1338	1318	1019	697	170	1147	1604	1165	1381	1237	1296	1359	
1	2	12	14	16	13	14	16	23	21	15	3	14	14	14	11	9	6	14	13	15	17	13	13	16	
118	249	1290	1504	1570	1644	1623	1364	1456	1428	1681	398	882	1547	1395	1287	792	260	1235	1703	1287	1437	1301	1345	1396	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	1	2	1	1	3	1	1	2	1	1	2	2	4	1	1	2	3	1	2	1	2	1	
6	7	41	64	62	57	63	52	52	49	34	10	32	67	67	46	25	11	78	73	152	78	79	70	73	
7	8	37	49	59	66	68	53	68	51	47	13	42	65	48	101	37	5	33	67	53	56	38	48	60	
100	228	1201	1372	1433	1502	1473	1237	1318	1310	1572	364	799	1396	1264	1118	719	235	1112	1547	1071	1292	1170	1215	1251	
1	1	2	3	3	2	2	7	4	4	3	7	3	2	4	7	7	5	2	4	5	3	4	6	3	
1	1	4	6	5	6	7	6	5	5	9	1	2	6	3	4	1	1	3	1	1	2	1	0	2	
1	1	1	2	1	2	2	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	3	1	1	
1	2	3	7	5	8	7	5	7	6	12	1	2	7	6	5	1	1	4	6	3	3	5	3	5	
