"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	
1136	1165	1234	1297	638	483	968	533	480	260	327	172	195	406	397	220	263	225	290	224	348	595	
800	850	900	950	450	350	700	400	350	200	250	150	150	300	300	150	200	150	200	150	250	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
491	539	562	569	339	280	353	204	148	102	114	78	70	162	182	92	100	75	74	101	139	245	
18	25	13	21	12	10	13	5	26	26	26	7	30	29	21	28	30	20	48	17	56	97	
291	286	325	360	99	60	334	191	176	72	110	65	50	109	97	30	70	55	78	32	55	58	
18	25	13	21	12	10	13	5	26	26	26	7	30	29	21	28	30	20	48	17	56	97	
491	539	562	569	339	280	353	204	148	102	114	78	70	162	182	92	100	75	74	101	139	245	
9	0	1	5	2	2	1	1	0	2	1	0	1	2	1	1	0	1	0	0	1	1	
500	564	574	585	349	288	365	208	174	126	139	85	99	189	202	119	130	94	122	118	194	341	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	9	5	2	2	9	2	1	2	0	2	0	3	0	0	1	1	1	2	0	0	2	
81	87	99	103	42	37	35	30	25	10	15	0	6	14	18	19	6	14	15	5	14	50	
37	37	35	46	26	18	42	24	12	17	7	6	8	21	20	12	11	9	6	6	17	40	
357	410	422	407	270	206	273	148	129	96	111	78	79	153	160	85	108	68	98	104	161	241	
7	9	3	6	3	9	6	1	2	1	0	0	0	0	1	1	2	2	0	0	2	4	
2	3	7	10	2	5	3	3	0	2	1	0	2	1	1	0	1	0	0	0	0	1	
8	5	3	9	0	2	3	1	4	0	3	0	1	0	2	0	1	0	0	3	0	1	
3	4	0	2	4	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	
