"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	
2014	1417	1531	960	540	482	348	211	578	84	372	461	393	209	1047	1783	471	271	195	146	110	
2000	1400	1500	940	550	490	340	210	570	80	370	450	390	195	1020	1660	470	270	200	145	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1177	1056	900	727	425	356	281	170	442	68	234	359	311	146	634	1240	318	177	145	92	42	
65	111	82	64	48	72	48	16	42	9	76	36	34	19	40	28	71	49	35	32	19	
758	233	518	149	77	62	11	24	86	3	60	55	45	30	346	392	81	44	20	21	49	
65	111	82	64	48	72	48	16	42	9	76	36	34	19	40	28	71	49	35	32	19	
1177	1056	900	727	425	356	281	170	442	68	234	359	311	146	634	1240	318	177	145	92	42	
8	13	11	8	4	1	0	0	6	1	2	0	0	1	14	9	1	0	0	0	0	
1234	1154	971	783	469	427	329	186	478	76	308	395	345	164	660	1259	388	226	180	124	61	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	5	2	5	0	0	0	1	0	0	1	1	2	4	8	2	0	3	3	1	
153	133	123	69	74	29	53	2	59	7	11	51	52	7	101	176	59	27	7	19	5	
77	75	80	38	37	22	27	9	30	8	18	20	20	15	45	138	22	23	19	10	10	
971	922	737	662	345	371	249	174	383	59	278	321	265	139	493	899	303	174	151	90	44	
7	4	7	4	3	0	0	0	1	1	0	1	2	0	6	15	1	1	0	0	0	
10	4	9	6	3	4	0	0	0	0	1	0	3	0	5	6	1	1	0	0	1	
5	7	6	2	1	0	0	0	3	0	0	0	1	1	2	10	0	0	0	2	0	
3	4	4	0	1	1	0	1	1	1	0	1	1	0	4	7	0	0	0	0	0	
