"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	
1512	1245	120	346	145	417	
1550	1350	100	350	150	450	
0	9	0	0	0	0	
636	571	50	143	66	199	
43	34	6	24	5	27	
871	736	44	183	79	224	
43	43	6	24	5	27	
636	571	50	143	66	199	
5	4	0	1	0	4	
674	610	56	166	71	222	
0	0	0	0	0	0	
0	0	0	0	0	0	

1	6	0	4	0	1	
72	53	6	8	3	9	
65	66	16	14	6	21	
524	472	34	134	62	186	
5	2	0	2	0	1	
3	6	0	0	0	3	
3	1	0	1	0	1	
1	4	0	3	0	0	
