"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	
207	86	152	171	62	176	387	121	137	67	97	122	92	56	124	97	75	272	477	121	204	50	72	108	564	166	106	63	23	231	102	60	21	35	73	32	43	16	172	99	147	1498	59	53	30	251	112	390	149	45	104	46	23	
207	86	152	171	68	178	353	131	138	62	98	127	92	56	126	106	75	272	497	121	203	57	73	107	590	173	109	62	23	231	102	75	21	35	73	32	43	16	172	93	147	1557	59	56	29	251	126	401	150	45	104	46	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
193	81	142	162	62	170	275	109	117	39	92	114	74	54	106	87	67	247	392	113	149	48	68	69	462	125	91	53	23	194	78	52	18	27	68	26	36	14	138	60	119	1484	55	48	29	208	112	345	123	38	104	41	23	
0	0	3	0	0	6	7	0	0	5	0	0	0	2	6	10	0	0	20	0	3	2	0	7	11	0	0	0	0	4	0	5	0	0	0	4	0	0	2	21	3	10	0	0	0	3	0	0	0	0	0	0	0	
14	5	7	9	6	2	71	22	21	18	6	13	18	0	14	9	8	25	85	8	51	7	5	31	117	48	18	9	0	33	24	18	3	8	5	2	7	2	32	12	25	63	4	8	0	40	14	56	27	7	0	5	0	
0	0	3	0	0	6	7	0	0	5	0	0	0	2	6	10	0	0	20	0	3	2	0	7	11	0	0	0	0	4	0	5	0	0	0	4	0	0	2	21	3	10	0	0	0	3	0	0	0	0	0	0	0	
193	81	142	162	62	170	275	109	117	39	92	114	74	54	106	87	67	247	392	113	149	48	68	69	462	125	91	53	23	194	78	52	18	27	68	26	36	14	138	60	117	1484	55	48	29	208	112	345	123	38	104	41	23	
0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	
193	81	145	162	62	176	279	109	117	44	92	114	74	56	112	97	67	247	412	113	152	50	68	76	473	125	91	53	23	198	78	57	18	27	68	30	36	14	139	81	120	1490	55	48	29	209	112	345	123	38	104	41	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
4	2	3	0	3	4	9	9	4	0	7	3	2	0	2	1	2	9	9	6	9	0	2	3	16	6	3	1	0	4	2	2	0	1	2	0	0	0	1	0	7	61	0	0	1	2	2	16	13	2	22	6	2	
0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	
189	79	142	162	59	172	270	99	112	44	85	111	72	56	110	96	65	237	401	106	143	50	66	73	456	118	88	52	23	192	75	55	18	26	66	30	36	12	137	78	110	1422	55	48	28	205	110	329	110	36	80	32	21	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	
