"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	
251	387	249	232	568	304	852	257	384	675	620	953	655	895	411	382	398	268	
280	424	295	283	569	340	997	290	423	729	684	1051	732	965	409	459	448	317	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192	293	167	167	403	240	658	184	300	549	514	746	549	694	237	278	256	208	
50	80	72	61	119	61	153	63	78	86	43	68	57	71	162	99	127	52	
38	51	56	55	47	39	186	43	45	94	127	237	126	200	10	82	65	57	
50	80	72	61	119	61	153	63	78	86	43	68	57	71	162	99	127	52	
192	293	167	167	403	240	658	184	300	549	514	746	549	693	237	278	256	208	
1	8	3	7	3	0	17	3	1	15	12	18	14	13	2	2	14	9	
241	365	236	221	519	301	794	244	377	620	545	796	592	751	397	375	369	251	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	0	5	1	1	1	3	4	2	7	0	0	3	1	
21	23	10	12	62	20	76	19	25	89	75	155	89	184	33	22	18	25	
19	13	7	15	21	6	48	8	11	35	40	56	34	49	16	23	11	6	
198	322	218	193	427	273	645	211	336	486	415	564	449	489	344	325	335	218	
1	0	0	1	1	0	6	3	2	3	3	3	5	8	1	0	0	1	
0	3	1	0	7	0	9	1	0	5	3	9	9	8	3	5	0	0	
0	1	0	0	0	2	0	1	1	0	2	4	2	4	0	0	2	0	
1	2	0	0	1	0	5	0	1	1	4	1	2	2	0	0	0	0	
