"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	
566	193	177	383	599	269	453	230	470	364	345	492	333	1611	720	960	
575	190	170	385	595	275	460	235	470	370	350	500	335	1630	720	970	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
318	106	114	246	389	205	328	145	169	229	251	336	268	1257	392	821	
140	65	30	67	124	38	57	71	213	113	62	85	22	112	151	98	
117	19	26	72	82	32	75	19	88	28	37	79	45	261	177	51	
140	65	30	67	124	38	57	71	213	113	62	85	22	112	151	98	
318	106	114	246	389	205	328	145	169	229	251	336	268	1257	392	821	
2	0	3	4	1	11	5	0	3	3	0	10	1	13	7	5	
456	171	141	309	512	232	380	216	379	339	313	411	289	1356	536	914	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	3	1	0	2	0	1	0	0	0	0	4	4	3	
37	10	16	22	37	13	39	9	44	16	14	19	17	135	105	65	
20	8	8	13	17	8	12	5	24	6	5	7	9	35	27	18	
398	148	114	265	451	209	323	200	308	315	294	382	259	1163	391	819	
0	3	1	1	1	1	1	1	0	1	0	1	1	6	1	2	
0	0	0	0	2	0	1	0	0	1	0	2	2	8	1	2	
0	0	1	0	2	1	2	0	2	0	0	0	1	4	3	2	
0	1	1	5	1	0	0	1	0	0	0	0	0	1	4	3	
