"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	
1840	1880	1597	203	190	223	148	304	168	101	164	200	192	252	75	565	207	
1850	1850	1500	200	180	220	130	300	160	95	150	180	180	240	65	520	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
933	937	718	93	83	94	65	175	87	62	58	87	71	133	38	233	101	
200	157	253	25	41	29	33	46	24	9	43	50	38	34	10	113	36	
717	756	529	82	56	97	32	79	49	24	49	43	71	73	17	174	43	
200	157	253	25	41	29	33	46	24	9	43	50	38	34	10	113	36	
933	937	718	93	83	94	65	175	87	62	58	87	71	133	38	233	101	
12	15	9	1	0	2	0	1	0	2	1	0	0	0	0	1	1	
1121	1079	962	117	124	121	98	220	111	69	100	137	109	167	48	345	136	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	10	8	0	0	0	0	1	0	0	0	2	0	2	1	4	0	
193	202	152	19	14	7	5	17	9	14	2	15	13	15	6	27	31	
66	61	79	4	5	7	14	9	13	8	6	8	6	15	6	10	9	
826	789	712	92	97	105	78	192	88	46	91	107	87	133	32	299	96	
7	7	4	1	5	1	0	0	0	0	1	3	2	1	0	2	0	
12	4	0	0	3	1	0	1	0	1	0	0	0	0	1	1	0	
2	1	3	1	0	0	1	0	1	0	0	1	1	1	0	0	0	
5	5	4	0	0	0	0	0	0	0	0	1	0	0	2	2	0	
