"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	
2180	140	157	172	162	124	291	201	174	102	250	
2285	130	150	180	160	120	300	210	190	110	250	
0	0	0	0	0	0	0	0	0	0	0	
1295	23	80	73	79	47	131	93	83	57	78	
205	102	40	45	69	36	51	29	47	15	112	
785	5	30	62	12	37	118	88	60	38	60	
205	102	40	45	69	36	51	29	47	15	112	
1295	23	80	73	79	47	131	93	83	57	78	
9	0	0	0	0	0	1	0	2	0	0	
1491	125	120	118	148	83	181	122	128	72	190	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

8	1	1	0	0	0	0	1	2	0	1	
174	14	10	11	19	6	22	2	8	9	11	
97	8	5	5	7	11	14	11	9	3	14	
1155	98	99	97	117	61	138	103	107	55	159	
17	2	2	0	1	1	2	3	0	2	1	
15	0	2	3	2	3	1	0	1	0	1	
5	0	0	0	1	0	0	0	1	0	1	
20	2	1	2	1	1	4	2	0	3	2	
