"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	
800	721	752	766	704	753	755	646	707	711	449	750	720	718	757	285	
700	600	650	650	600	600	650	550	600	600	450	600	600	600	650	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
468	493	500	427	438	417	452	369	418	406	300	387	341	360	326	209	
27	16	28	28	12	47	27	30	39	36	23	47	30	25	58	19	
205	91	122	195	150	136	171	151	143	158	127	166	229	215	266	72	
27	16	28	28	12	47	27	30	39	36	23	47	30	25	58	19	
468	493	500	427	437	417	452	369	418	406	300	387	341	360	326	209	
9	7	10	8	4	9	10	3	10	5	6	4	2	5	2	2	
486	502	518	447	445	455	469	396	447	437	317	430	369	380	382	226	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	6	8	4	2	4	2	2	1	2	0	3	0	3	1	
70	59	86	71	76	64	67	65	63	79	59	64	46	66	57	9	
54	30	28	43	29	30	32	35	35	37	24	37	37	47	49	35	
352	396	389	315	327	350	354	291	336	311	223	313	269	259	262	176	
1	8	4	3	3	3	3	1	6	4	3	4	4	4	6	2	
1	2	3	2	3	3	3	1	4	4	3	8	2	1	1	2	
3	1	2	3	1	2	1	0	0	1	1	4	3	1	1	1	
3	3	0	2	2	1	5	1	1	0	2	0	5	2	3	0	
