"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	
1035	1085	1268	1109	1068	1093	1043	1069	951	1018	1119	1147	1055	1056	1016	
1067	1127	1337	1130	1076	1122	1083	1116	983	1044	1145	1208	1069	1068	1089	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
674	631	1070	1006	747	977	711	956	859	815	1028	861	729	717	913	
104	59	10	48	63	50	54	26	33	143	24	28	37	73	42	
289	437	257	76	266	95	318	134	91	86	93	319	303	278	134	
104	59	10	48	63	50	54	26	33	143	24	28	37	73	42	
674	631	1068	1006	747	977	711	956	859	815	1028	861	729	717	913	
15	8	3	4	0	0	6	2	0	7	0	2	18	10	2	
763	682	1075	1050	810	1027	759	980	892	951	1052	887	748	780	953	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	2	0	10	4	6	0	2	3	0	5	3	2	0	
104	187	299	39	32	71	153	104	42	62	80	220	163	178	73	
26	23	29	0	10	10	22	18	6	6	10	21	30	40	9	
599	444	706	1004	737	935	552	854	834	868	957	616	533	528	869	
11	11	12	2	7	4	13	2	2	4	5	10	6	8	2	
10	7	5	0	2	0	5	0	2	6	0	8	10	13	0	
2	4	13	0	2	2	5	1	2	1	0	3	1	4	0	
4	3	9	5	10	1	3	1	2	1	0	4	2	7	0	
