"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	
2567	2750	2817	2616	2564	2585	1997	1865	2378	1961	2227	581	2384	2568	2652	2280	2480	2110	2738	2428	2215	2258	1971	2441	2117	2351	2099	2799	2273	1711	2052	
1950	2250	2200	2100	1950	2100	1650	1500	1850	1550	1650	400	1900	2100	2100	1700	1850	1550	2200	2000	1800	1800	1650	1850	1600	1900	1700	2300	1800	1300	1650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1516	1530	1674	1578	1489	1473	1149	1100	1371	1033	1335	355	1355	1425	1572	1221	1346	1260	1566	1430	1247	1295	1170	1373	1227	1362	1191	1557	1435	990	1193	
61	75	49	49	29	69	68	43	69	52	23	15	56	70	49	36	48	32	97	64	62	29	38	38	73	76	58	50	39	38	59	
373	645	477	473	432	558	433	357	410	465	292	30	489	605	479	443	456	258	537	506	491	476	442	439	300	461	451	693	326	272	398	
61	75	49	49	29	69	68	43	69	52	23	15	56	70	49	36	48	32	97	64	62	29	38	37	73	76	58	50	39	38	59	
1516	1525	1674	1573	1487	1471	1147	1098	1370	1031	1332	354	1355	1420	1563	1220	1345	1258	1561	1430	1247	1290	1164	1372	1227	1360	1191	1555	1435	987	1192	
29	25	26	20	27	19	18	15	21	28	21	4	19	22	23	20	16	12	18	17	17	22	13	11	20	18	18	26	18	19	21	
1548	1575	1697	1602	1489	1521	1197	1126	1418	1055	1334	365	1392	1468	1589	1236	1377	1278	1640	1477	1292	1297	1189	1398	1280	1418	1231	1579	1456	1006	1230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	8	18	14	14	15	15	6	13	14	10	0	14	14	7	10	9	6	11	11	14	18	9	10	9	12	14	7	18	4	21	
195	193	209	191	150	183	120	134	165	114	148	61	180	157	170	181	152	160	183	145	152	154	171	168	158	162	143	165	155	114	147	
124	80	117	111	79	88	59	66	88	68	68	11	61	71	76	72	106	76	122	81	87	82	55	72	90	100	71	110	101	60	72	
1094	1154	1214	1176	1128	1099	913	798	1015	757	987	256	979	1078	1178	869	1007	929	1198	1102	946	910	810	1045	919	1029	880	1184	1064	741	883	
60	62	49	50	60	68	36	42	55	41	55	18	60	56	72	50	47	46	43	63	38	49	59	36	43	48	49	48	61	29	54	
7	16	14	4	15	5	3	6	10	3	11	2	4	14	11	5	7	11	21	13	10	12	10	14	9	5	13	15	8	8	5	
18	22	28	10	12	22	12	33	19	23	19	3	33	25	25	16	11	18	24	23	18	20	26	15	14	26	16	15	22	26	21	
37	40	48	46	31	41	39	41	53	35	36	14	61	53	50	33	38	32	38	39	27	52	49	38	38	36	45	35	27	24	27	
