"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №740"	
2567	1626	2065	1481	1537	1678	2055	2735	2157	1530	1497	1799	2067	1945	1812	1565	1181	1237	1414	1369	2081	1991	2235	1751	1688	1814	2513	1766	596	
2500	1600	2000	1300	1500	1600	2000	2700	2200	1500	1400	1800	2000	1900	1800	1400	1100	1100	1400	1300	2000	1900	2200	1700	1600	1800	2500	1700	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1787	1010	1385	891	975	995	1217	1647	1355	929	815	1084	1210	1067	1115	966	713	731	836	786	1177	1098	1192	933	913	950	1532	1062	566	
36	31	46	33	42	37	47	79	73	61	111	52	42	50	60	22	31	37	72	54	35	80	131	67	105	87	78	28	30	
677	559	569	376	483	568	736	974	772	510	474	664	748	783	625	412	356	332	492	460	788	722	877	700	582	763	890	610	54	
36	31	46	33	42	37	44	79	73	61	111	52	42	50	60	22	31	37	72	54	35	80	131	67	105	87	78	28	30	
1787	1010	1385	891	975	995	1217	1647	1355	929	815	1084	1210	1067	1115	966	713	731	836	786	1176	1097	1192	933	913	950	1530	1062	566	
20	14	11	11	14	12	16	23	11	13	7	14	12	15	13	15	13	16	6	5	11	13	10	13	11	15	11	12	14	
1803	1027	1420	913	1003	1020	1245	1703	1417	977	919	1122	1240	1102	1162	973	731	752	902	835	1200	1164	1313	987	1007	1022	1597	1078	582	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

27	14	22	5	17	8	13	7	10	7	3	5	17	9	15	7	8	5	12	8	8	7	10	7	8	13	19	6	5	
259	143	213	129	110	121	152	176	192	122	115	135	148	136	142	133	81	106	98	77	137	118	160	115	98	109	249	164	38	
103	67	93	49	77	65	73	95	65	60	63	80	89	84	74	73	56	39	58	52	94	71	87	65	65	60	123	75	38	
1279	750	1012	687	727	775	956	1338	1067	745	706	853	910	827	888	705	553	555	689	659	914	909	1007	768	801	789	1140	785	447	
67	14	36	14	25	22	21	47	35	12	12	18	26	16	14	24	14	18	18	17	21	22	17	11	13	23	29	20	32	
10	6	12	5	16	4	11	10	10	14	6	9	9	12	8	9	9	6	9	5	9	10	15	5	8	11	14	11	7	
26	14	10	8	21	13	9	17	20	6	10	17	19	8	13	9	6	11	9	6	11	15	12	10	9	10	13	8	4	
32	19	22	16	10	12	10	13	18	11	4	5	22	10	8	13	4	12	9	11	6	12	5	6	5	7	10	9	11	
