"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	
552	2788	2629	2020	1398	1891	2387	1868	1474	
500	2000	2000	1600	1050	1550	1750	1500	1150	
0	0	0	0	0	0	0	0	0	
400	1540	1571	1251	920	1081	1358	1127	864	
8	34	50	53	36	26	23	36	51	
92	426	379	296	94	443	369	337	235	
8	34	50	53	36	26	23	36	51	
400	1540	1566	1251	920	1078	1358	1126	864	
9	15	24	17	10	10	14	17	10	
399	1559	1592	1287	946	1094	1367	1145	905	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

1	15	24	5	13	2	7	7	8	
71	179	250	183	120	119	173	132	133	
39	97	121	75	50	81	68	68	54	
274	1208	1131	970	706	844	1049	886	664	
9	23	25	9	36	17	28	18	17	
2	10	12	12	4	5	13	7	9	
2	12	13	11	3	12	14	17	9	
1	15	16	22	14	14	15	10	11	
