"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	
551	533	504	516	558	455	563	505	559	591	548	541	492	547	520	970	635	161	590	628	137	553	594	777	405	379	524	440	475	
540	460	516	530	597	480	574	526	570	600	514	563	510	567	530	1020	660	160	610	650	144	590	603	810	420	390	530	450	480	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
411	385	390	445	508	336	275	313	460	526	396	424	303	241	401	493	543	124	492	484	114	413	512	595	322	292	391	363	196	
46	40	24	42	22	36	38	56	22	22	62	18	74	36	38	71	16	7	43	82	10	35	37	89	27	38	59	38	72	
83	35	102	43	67	108	261	157	88	52	56	121	133	290	91	456	101	29	75	84	20	142	54	126	71	60	80	49	212	
46	40	24	42	22	36	38	56	22	22	62	18	74	36	38	71	16	7	43	82	10	35	37	89	27	38	59	38	72	
411	385	390	445	508	336	275	313	460	526	396	424	303	241	401	493	543	124	492	484	114	413	512	595	322	292	391	363	196	
5	3	0	4	0	0	2	4	0	0	5	0	3	1	5	4	0	0	0	0	0	0	0	0	0	0	1	0	4	
452	422	414	483	530	372	311	365	482	548	453	442	374	276	434	560	559	131	535	566	124	448	549	684	349	330	449	401	264	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	3	3	1	1	1	0	1	1	1	0	2	1	3	0	1	0	2	2	0	1	0	2	6	0	0	0	7	
56	56	47	61	72	58	67	62	62	46	50	53	38	62	26	85	52	16	34	29	5	28	45	43	24	14	25	17	33	
15	17	20	18	23	12	13	17	25	16	22	19	15	34	15	42	20	3	9	8	4	9	16	12	15	7	11	17	13	
373	340	339	397	431	296	225	278	389	482	379	357	315	174	381	425	482	111	482	524	115	407	482	620	276	303	410	361	199	
1	1	2	0	1	0	3	2	0	1	1	8	1	1	5	4	1	1	4	1	0	1	3	2	9	5	0	3	1	
5	4	2	2	1	1	0	2	4	0	0	2	2	0	2	1	1	0	2	0	0	2	0	2	4	0	3	0	7	
1	1	0	0	1	1	2	3	1	1	0	3	1	1	1	1	2	0	0	2	0	0	2	1	7	0	0	3	3	
0	0	1	2	0	3	0	1	0	1	0	0	0	3	1	2	0	0	2	0	0	0	1	2	8	1	0	0	1	
