"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	
2149	837	1891	1650	1288	1821	996	538	1880	1403	2216	3000	2436	1354	1629	1674	1971	2508	1181	2841	2246	2098	284	2006	868	1648	2566	1649	929	2440	2467	1504	1182	1100	1676	2466	2623	1060	1893	2306	1899	1998	1886	616	1766	2258	2120	2209	1942	2339	1343	2484	1477	2379	2186	2263	1089	1937	2090	1221	1897	1934	1269	1148	2765	2216	2289	2020	2274	2007	835	857	856	2483	1573	1414	1389	2062	1799	939	1641	982	932	
2150	1020	1750	1450	1200	1650	900	500	1700	1300	2050	3000	2440	1250	1500	1550	1800	2480	1100	2800	2200	2100	308	1700	1000	1500	2500	1500	800	2250	2340	1400	1100	1050	1600	2300	2550	850	1650	2300	1700	2000	1700	550	1650	2250	2100	2200	1750	2300	1200	2450	1380	2350	2200	2150	1300	1800	2100	1150	1750	1750	1200	1100	2600	2200	2050	2000	2100	1900	800	800	800	2400	1400	1200	1300	1700	1600	800	1400	1200	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1592	837	1421	1220	968	1295	696	400	1202	812	1515	2593	1881	1132	1114	1033	1460	1872	897	2134	1600	1392	189	1185	865	1134	1432	961	643	1647	1652	1239	1012	703	1299	1615	1844	727	1546	1747	1285	1324	1400	467	1433	1674	1504	1623	1322	1376	798	1936	1129	1670	1602	1633	1072	1659	1412	845	1658	1373	766	791	2045	1471	1601	1367	1409	1250	714	689	754	1800	1149	1012	1146	1458	1456	627	1273	975	636	
25	0	27	11	4	17	7	4	15	9	22	11	10	13	17	30	12	18	12	22	23	27	95	100	3	24	15	12	49	13	12	13	25	12	24	17	13	84	10	13	16	35	37	3	18	26	17	16	43	21	11	35	11	21	16	19	17	23	16	21	16	14	10	14	21	19	12	19	5	21	0	12	4	11	9	11	43	13	5	7	3	7	5	
533	183	302	219	228	338	197	96	483	479	513	396	549	105	369	487	328	590	191	644	577	681	24	415	132	342	1053	527	108	590	676	148	63	335	277	668	693	39	94	540	399	641	263	80	199	550	579	561	385	903	391	479	240	659	582	498	211	118	672	284	76	363	424	295	534	710	437	614	686	629	86	99	42	589	242	177	111	229	139	166	124	218	159	
25	0	27	11	4	17	7	4	15	9	22	11	10	13	17	30	12	18	12	22	23	27	95	100	3	24	15	12	49	13	12	13	25	12	24	17	13	84	10	13	16	35	37	3	18	26	17	16	43	21	11	35	11	21	16	19	17	23	16	21	16	14	10	14	21	19	12	19	5	21	0	12	4	11	9	11	43	13	5	7	3	7	5	
1592	837	1414	1220	960	1295	696	400	1202	812	1514	2593	1881	1132	1114	1033	1460	1872	897	2134	1600	1392	189	1185	865	1134	1432	961	643	1629	1652	1239	1012	703	1299	1615	1844	727	1546	1747	1285	1324	1398	467	1433	1674	1504	1623	1321	1376	798	1936	1126	1670	1602	1633	1072	1659	1412	845	1658	1373	766	791	2023	1471	1600	1367	1409	1250	714	689	754	1800	1149	1012	1146	1458	1456	627	1272	975	636	
22	0	7	6	5	19	12	4	15	19	21	30	31	10	11	16	8	20	6	31	32	24	0	17	4	0	22	4	6	23	28	3	3	7	8	29	17	1	23	19	5	17	1	3	15	24	27	27	3	22	12	15	9	28	34	24	0	0	28	16	1	5	12	12	23	36	18	24	18	15	3	15	3	33	8	5	14	14	11	0	4	10	5	
1595	837	1434	1225	959	1293	691	400	1202	802	1515	2574	1860	1135	1120	1047	1464	1870	903	2125	1591	1395	284	1268	864	1158	1425	969	686	1619	1636	1249	1034	708	1315	1603	1840	810	1533	1741	1296	1342	1434	467	1436	1676	1494	1612	1361	1375	797	1956	1128	1663	1584	1628	1089	1682	1400	850	1673	1382	764	793	2021	1454	1594	1362	1396	1256	711	686	755	1778	1150	1018	1175	1457	1450	634	1271	972	636	
