"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	
1048	1025	1116	1285	1593	1711	1216	1161	1578	1512	1406	80	
1000	1000	1100	1200	1600	1800	1100	1200	1600	1500	1500	100	
0	0	0	0	0	0	0	0	0	0	0	0	
495	517	713	797	808	999	755	598	887	895	805	59	
114	61	71	114	158	95	57	50	84	96	160	21	
391	422	316	289	634	706	288	552	629	509	535	20	
114	61	71	114	158	95	57	50	84	96	160	21	
495	517	712	797	808	999	755	598	887	895	805	59	
10	16	11	11	12	20	9	12	12	20	11	2	
599	562	772	900	954	1074	803	636	959	971	954	78	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

4	1	7	12	6	7	5	5	8	11	6	1	
150	136	173	197	239	257	167	127	206	187	223	18	
84	76	72	84	113	118	111	85	98	103	93	9	
343	329	499	572	572	665	494	402	618	640	608	49	
12	7	7	12	10	11	10	7	15	9	10	1	
3	9	4	12	6	7	4	2	5	12	5	0	
2	4	6	6	6	6	10	3	6	3	6	0	
1	0	4	5	2	3	2	5	3	6	3	0	
