"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №812"	
840	810	882	574	898	1010	671	633	560	549	1932	101	219	322	624	415	558	264	170	501	492	298	352	110	571	465	324	314	1078	347	1058	
774	767	880	562	850	951	700	616	529	450	1885	102	234	339	695	425	639	266	183	566	541	351	393	110	646	540	360	335	1225	396	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
409	408	503	354	499	582	405	403	329	301	1237	54	172	211	421	294	316	182	114	334	324	214	233	82	425	310	222	204	712	223	900	
66	118	17	8	22	31	21	16	20	71	53	2	7	9	20	13	41	22	11	21	43	15	16	0	9	23	16	7	46	15	0	
299	241	360	200	329	338	274	197	180	78	595	46	55	119	254	118	282	62	58	211	174	122	144	28	212	207	122	124	465	158	0	
66	118	17	8	22	31	21	16	20	71	53	2	7	9	20	13	41	22	11	21	43	15	16	0	9	23	16	7	48	15	0	
409	408	503	354	499	582	405	403	329	301	1237	54	172	211	421	294	316	182	114	334	324	214	233	82	425	310	222	204	712	223	900	
5	2	4	2	3	5	0	2	5	0	11	0	0	1	2	0	0	2	1	2	3	2	2	0	1	0	0	0	2	2	12	
470	524	516	360	518	608	426	417	344	372	1279	56	179	219	439	307	357	202	124	353	364	227	247	82	433	333	238	211	758	236	888	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	0	0	2	2	1	0	0	0	2	0	0	1	1	0	2	1	0	0	1	1	0	0	0	0	0	0	1	2	2	
159	154	194	126	157	200	165	127	106	104	464	14	48	89	158	130	144	69	40	133	133	86	53	11	204	153	90	95	305	108	350	
11	5	4	4	4	3	1	3	3	6	13	2	5	2	1	0	4	4	1	3	3	1	1	1	4	6	1	0	9	5	81	
286	351	311	224	345	389	249	282	227	256	771	38	122	125	274	170	200	122	83	210	223	138	187	70	220	164	142	116	435	117	434	
9	9	2	4	7	7	6	3	5	5	19	2	3	2	5	4	3	4	0	5	2	0	5	0	1	4	5	0	6	3	12	
2	0	1	2	0	0	2	1	0	0	5	0	1	0	0	1	1	1	0	0	0	1	1	0	1	5	0	0	0	0	4	
0	1	3	0	0	5	1	0	1	1	2	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	0	1	0	2	
3	1	1	0	3	2	1	1	2	0	3	0	0	0	0	0	3	1	0	1	1	0	0	0	2	0	0	0	1	1	3	
