"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	
231	377	486	613	326	201	578	336	305	2517	1925	226	386	172	292	188	108	198	
250	350	500	650	300	200	550	350	300	2550	1950	200	400	150	250	170	100	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
148	238	280	345	209	124	416	178	192	1593	1123	117	285	109	169	125	60	111	
29	31	45	37	14	9	30	42	27	64	71	38	21	20	16	6	11	14	
73	81	175	268	77	67	104	130	81	893	756	45	94	21	65	39	29	55	
29	31	45	37	14	9	30	42	27	64	71	38	21	20	16	6	11	14	
148	238	280	345	209	124	416	178	192	1593	1123	117	285	109	169	125	60	111	
3	4	1	2	4	2	6	1	2	34	14	2	2	0	3	2	2	0	
174	265	324	380	219	131	440	219	217	1623	1180	153	304	129	182	129	69	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	1	0	2	1	0	8	8	1	1	3	2	3	0	0	
11	15	26	17	12	7	24	16	20	202	117	9	13	11	13	7	5	3	
10	19	33	21	24	4	34	8	19	140	109	21	18	8	15	14	6	17	
152	230	258	334	176	120	374	192	169	1242	912	121	265	106	151	103	56	104	
0	1	3	4	2	0	4	1	1	14	9	0	1	0	0	1	1	0	
0	0	3	1	3	0	2	1	4	5	12	1	2	0	1	0	1	0	
1	0	0	2	1	0	0	0	1	9	8	0	1	0	0	1	0	1	
0	0	0	0	0	0	0	0	3	3	5	0	3	1	0	0	0	0	
