"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №654"	
808	1648	1720	1268	1670	2168	1218	1117	1804	1308	1991	1521	1430	1618	1146	1120	2213	2207	1624	1114	2222	2497	2881	1480	1724	1901	1897	2791	1768	1432	1614	1818	1079	1953	1076	2031	1898	1913	2246	2058	1983	2266	1270	2208	1971	2425	2579	2033	2600	2652	1660	1175	2105	2079	1562	1823	1957	1765	1764	2084	2248	2309	2225	2543	2364	1905	1366	1489	2921	1173	2526	2115	1989	2073	1910	2379	1917	2476	1570	1530	2080	1491	2014	1235	1105	1831	1970	1285	2033	1239	1546	555	472	
700	1500	1400	1200	1600	2000	1100	1000	1700	1200	1950	1400	1400	1500	1000	900	1800	2100	1500	900	2100	2300	2800	1400	1600	1800	1800	2600	1600	1400	1400	1700	1000	2000	1000	2000	1800	1800	2100	2100	1900	2300	1250	2200	2000	2400	2600	2000	2600	2600	1600	1100	2100	2100	1500	1800	1800	1700	1700	2000	2100	2300	2200	2500	2200	1800	1300	1300	2800	1100	2400	1900	1900	2000	1800	2200	1800	2400	1500	1400	1900	1400	1900	1200	1000	1800	1900	1200	2100	1100	1400	600	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
498	972	963	720	1007	1370	721	706	1127	791	1259	904	735	977	654	650	1346	1261	854	577	1608	1316	2282	708	992	1095	902	1872	1042	875	866	1106	667	1055	694	1252	1128	1116	1577	1330	1297	1575	1190	1508	1309	1575	1680	1322	1721	1829	1104	773	1397	1331	1027	1187	1246	1100	1189	1306	1329	1435	1423	1664	1513	1204	847	909	1728	730	1536	1234	1142	1270	1237	1578	1271	1572	942	855	1225	912	1277	823	718	1125	1185	786	1487	826	903	322	336	
5	16	217	28	27	26	27	58	24	23	36	16	22	30	19	32	15	27	28	14	8	35	146	16	30	18	31	81	30	41	106	97	29	49	12	24	17	30	20	35	17	9	33	24	23	19	37	38	22	22	10	6	16	53	27	21	16	35	21	28	27	44	52	28	21	24	21	46	87	4	28	21	24	43	24	54	13	31	24	20	18	18	26	12	9	20	12	7	3	9	29	204	108	
197	512	220	452	566	604	352	236	549	386	655	480	643	493	327	218	439	812	618	309	484	949	372	676	578	687	867	647	528	484	428	497	304	896	294	724	655	654	503	735	586	716	27	668	668	806	883	640	857	749	486	321	687	716	446	592	538	565	490	666	744	821	725	808	666	572	432	345	985	366	836	645	734	687	539	568	516	797	534	525	657	470	597	365	273	655	703	407	610	265	468	74	156	
5	16	217	28	27	26	27	58	24	23	36	16	22	30	19	32	15	27	28	14	8	35	146	16	30	18	31	81	30	41	106	97	29	49	12	24	17	30	20	35	17	9	33	24	23	19	37	38	22	22	10	6	16	53	27	21	16	35	21	28	27	44	52	28	21	24	21	46	87	4	28	21	24	43	24	54	13	30	24	20	18	18	26	12	9	20	12	7	3	9	29	204	108	
498	972	963	720	1006	1368	721	706	1125	791	1259	904	735	977	653	650	1346	1260	854	577	1608	1316	2281	708	992	1095	902	1872	1042	875	865	1106	667	1055	694	1252	1128	1116	1577	1327	1297	1575	1190	1508	1309	1575	1678	1322	1720	1829	1100	772	1397	1329	1027	1186	1245	1099	1189	1306	1329	1435	1421	1662	1513	1204	847	909	1728	730	1536	1234	1142	1268	1236	1576	1270	1572	942	854	1224	912	1277	823	718	1123	1173	786	1487	825	903	322	336	
3	14	8	5	7	15	8	6	11	1	12	8	2	9	6	7	15	8	4	5	22	6	35	7	6	15	5	24	12	7	13	15	8	12	14	10	4	15	18	7	13	18	19	11	9	16	25	11	10	19	8	5	8	14	4	8	8	9	7	25	8	14	14	17	10	5	15	7	16	8	14	15	13	12	18	13	13	14	10	11	9	6	8	4	7	7	10	8	10	4	3	8	3	
500	974	1172	743	1026	1379	740	758	1138	813	1283	912	755	998	666	675	1346	1279	878	586	1594	1345	2392	717	1016	1098	928	1929	1060	909	958	1188	688	1092	692	1266	1141	1131	1579	1355	1301	1566	1204	1521	1323	1578	1690	1349	1732	1832	1102	773	1405	1368	1050	1199	1253	1125	1203	1309	1348	1465	1459	1673	1524	1223	853	948	1799	726	1550	1240	1153	1299	1242	1617	1270	1588	956	863	1233	924	1295	831	720	1136	1175	785	1480	830	929	518	441	
