"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	
1633	2265	2164	100	357	154	447	245	184	149	592	207	166	158	117	318	117	172	407	137	
1700	2300	2200	90	330	150	460	230	180	150	580	210	170	160	130	280	98	160	410	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
723	1103	1034	37	72	52	139	91	65	64	250	104	39	58	37	77	68	77	197	32	
46	48	81	27	126	35	91	61	38	21	81	33	49	37	30	152	26	46	39	43	
931	1149	1085	26	132	63	230	78	77	65	249	73	82	65	63	51	4	37	174	65	
46	48	81	27	126	35	91	61	38	21	81	33	49	37	30	152	26	46	39	43	
723	1103	1034	37	72	52	139	91	65	64	250	104	39	58	37	77	68	77	197	32	
3	8	11	0	1	1	1	1	0	1	2	2	2	0	0	2	1	0	1	0	
766	1143	1104	64	197	86	229	151	103	84	329	135	86	95	67	227	93	123	235	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	12	4	0	0	0	1	0	0	0	3	2	0	0	0	0	1	0	0	0	
79	140	109	3	16	1	20	12	4	4	26	15	8	10	8	25	8	14	33	4	
73	94	97	8	24	7	15	13	7	19	37	4	11	17	3	15	6	6	20	7	
589	867	872	52	146	78	188	125	89	61	252	112	67	67	54	181	76	98	180	61	
4	14	8	1	4	0	3	0	0	0	2	0	0	0	0	1	1	0	2	1	
4	11	7	0	4	0	2	1	1	0	5	1	0	1	2	1	0	4	0	1	
5	3	4	0	2	0	0	0	0	0	4	1	0	0	0	4	1	1	0	0	
7	2	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	
