"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	
826	409	562	325	899	543	853	540	930	789	722	345	478	216	1292	824	714	634	427	429	679	391	229	1725	470	787	132	912	1621	1503	1713	995	1678	
837	416	584	333	921	548	879	552	947	808	733	348	488	219	1343	836	723	642	430	436	693	392	231	1752	477	802	135	924	1666	1556	1747	1012	1721	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
735	385	536	305	862	522	689	467	824	696	685	309	428	200	1139	798	631	574	386	403	585	371	207	1568	432	699	122	813	1145	1166	1544	930	1533	
86	22	20	18	22	11	155	64	73	82	30	33	42	14	140	20	75	52	40	24	92	19	20	139	33	83	10	90	45	44	46	28	38	
16	9	28	10	37	15	35	21	50	30	18	6	18	5	64	18	17	16	4	9	16	2	4	45	12	20	3	21	476	346	157	54	150	
86	22	20	18	22	11	155	64	73	82	30	33	42	14	140	20	75	52	40	24	92	19	20	139	33	83	10	90	45	44	46	28	38	
735	385	536	305	860	522	689	467	824	696	685	309	428	200	1139	798	631	574	386	403	585	371	207	1567	432	699	122	813	1141	1158	1540	930	1530	
0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	4	10	23	1	10	9	
821	407	556	323	882	533	844	531	897	775	715	342	470	214	1278	818	706	626	426	427	677	389	227	1705	465	780	132	899	1176	1179	1585	948	1559	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	2	0	0	0	4	2	2	2	2	3	0	2	0	2	0	0	2	1	1	0	0	0	2	1	2	0	1	5	9	33	1	8	
35	13	6	1	36	7	12	10	42	11	12	8	16	6	7	22	23	39	11	12	25	22	5	23	5	20	6	23	363	310	81	75	349	
7	1	0	0	5	2	4	4	10	3	6	2	3	1	5	3	5	7	15	1	7	0	4	8	3	7	2	8	37	38	40	2	25	
748	383	548	321	831	508	818	510	836	750	687	330	441	204	1253	783	670	570	392	410	642	365	215	1651	450	737	124	858	739	777	1304	862	1120	
12	7	1	1	3	4	2	3	5	3	3	2	3	1	4	2	3	4	6	1	3	1	3	12	1	6	0	4	14	21	40	3	22	
6	0	0	0	2	2	2	1	0	2	2	0	2	0	2	2	1	2	0	0	0	0	0	3	1	2	0	1	1	6	22	2	4	
2	0	0	0	2	2	2	1	0	2	1	0	0	2	2	0	2	1	1	1	0	0	0	3	2	0	0	3	7	8	27	1	7	
2	1	1	0	3	4	2	0	2	2	1	0	3	0	3	6	2	1	0	1	0	1	0	3	2	6	0	1	10	10	38	2	24	
