"УИК №1974"	"УИК №1975"	"УИК №1976"	"УИК №1977"	"УИК №1978"	"УИК №1979"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №1983"	"УИК №1984"	"УИК №1985"	"УИК №1986"	"УИК №1987"	"УИК №1988"	"УИК №1989"	"УИК №1990"	"УИК №1991"	"УИК №1992"	"УИК №1993"	"УИК №1994"	"УИК №1995"	
718	699	1280	408	369	295	271	939	717	683	569	655	119	237	266	176	851	309	153	169	369	282	
700	690	1200	390	370	280	260	950	750	690	590	660	110	235	270	200	830	320	180	190	360	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
633	578	754	323	261	234	207	587	470	472	410	553	68	211	154	141	696	290	135	129	292	198	
21	29	58	50	16	33	32	87	70	43	52	90	42	17	59	12	78	5	18	3	36	71	
46	83	388	17	93	13	21	276	210	175	128	17	0	7	57	47	56	25	27	58	32	16	
21	29	58	50	16	33	32	87	70	43	52	90	42	17	59	12	78	5	18	3	36	71	
633	578	754	323	261	234	207	587	470	472	410	553	68	211	154	141	696	290	135	129	292	198	
7	6	12	5	1	6	1	7	2	10	4	3	0	4	1	0	3	6	4	0	5	0	
647	601	800	368	276	261	238	667	538	505	458	640	110	224	212	153	771	289	149	132	323	269	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	4	0	1	2	0	2	3	5	2	3	2	2	1	1	3	3	2	2	1	1	
71	61	84	46	20	31	27	127	87	49	33	35	13	28	9	10	94	61	12	17	36	11	
47	44	79	33	26	22	21	74	51	55	45	45	20	17	34	19	61	60	6	18	34	19	
511	481	602	280	224	181	187	447	371	381	371	551	66	172	166	110	602	159	128	92	235	231	
6	9	13	4	0	13	2	8	9	4	1	3	1	3	1	7	6	3	1	1	9	1	
4	1	8	2	2	7	0	2	6	4	2	2	8	0	1	1	3	3	0	0	4	4	
3	3	7	1	0	3	0	6	5	3	4	1	0	0	0	1	2	0	0	2	2	1	
2	2	3	2	3	2	1	1	6	4	0	0	0	2	0	4	0	0	0	0	2	1	
