"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	
903	766	658	46	130	47	19	
949	750	649	37	144	58	13	
0	0	0	0	0	0	0	
481	412	370	22	83	36	11	
45	64	20	0	0	0	0	
423	274	259	15	61	22	2	
45	64	20	0	0	0	0	
481	412	370	22	83	36	11	
3	2	6	0	0	1	0	
523	474	384	22	83	35	11	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

0	0	1	0	0	0	0	
25	17	22	0	5	1	1	
49	34	24	3	4	5	0	
443	416	328	18	67	27	10	
2	5	3	1	3	0	0	
0	1	4	0	1	2	0	
2	1	0	0	1	0	0	
2	0	2	0	2	0	0	
