"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №368"	"УИК №370"	"УИК №371"	"УИК №374"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	
156	310	462	686	571	356	800	732	200	694	420	571	788	593	735	802	816	658	362	510	583	284	252	439	1013	214	231	457	1112	827	900	638	737	775	472	177	803	708	682	481	
150	300	450	700	600	350	800	750	200	700	450	600	800	600	700	800	850	650	350	550	600	300	270	400	1000	200	230	450	1100	800	900	650	750	750	450	170	800	700	650	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	178	247	426	334	240	491	384	121	506	235	361	371	328	354	450	485	402	250	305	451	197	173	266	594	141	144	278	622	501	522	391	444	492	293	123	484	453	392	289	
13	38	58	65	72	16	43	84	33	15	53	52	86	31	43	14	59	61	36	44	31	35	15	31	109	16	35	61	100	40	64	43	25	53	31	15	48	52	61	19	
33	84	145	209	194	94	266	282	46	179	162	187	343	241	303	336	306	187	64	201	118	68	82	103	297	43	51	111	378	259	314	216	281	205	126	32	268	195	197	142	
13	38	58	65	72	16	43	84	33	15	53	52	86	31	43	14	59	61	36	44	31	35	15	31	109	16	35	61	100	40	64	43	25	53	31	15	48	52	61	19	
104	178	247	426	334	240	491	384	121	506	235	361	371	328	354	450	485	402	250	305	451	197	173	266	594	141	144	278	622	501	522	391	444	492	293	123	484	453	392	289	
1	1	1	6	9	1	2	5	0	2	3	3	8	4	1	7	6	3	1	5	0	0	2	3	7	2	1	2	6	6	2	0	3	2	2	5	4	5	1	0	
116	215	304	485	397	255	532	463	154	519	285	410	449	355	396	457	538	460	285	344	482	232	186	294	696	155	178	337	716	535	584	434	466	543	322	133	528	500	452	308	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	1	3	2	5	0	2	5	1	4	2	2	6	1	3	0	3	1	1	1	0	1	5	0	0	7	3	6	0	3	3	4	4	0	3	5	2	0	
7	37	43	62	27	37	41	40	1	31	27	71	61	39	62	65	33	42	50	27	39	24	18	31	92	10	17	54	107	75	81	70	73	91	40	11	89	59	79	50	
14	7	20	45	43	16	41	36	16	51	37	39	38	36	49	47	45	64	28	21	27	17	14	36	64	17	19	20	64	64	53	47	50	36	23	10	61	49	31	34	
90	164	235	372	317	196	441	378	135	419	212	286	345	276	267	330	445	348	200	287	413	185	149	223	525	126	140	251	529	380	434	298	326	397	245	109	364	370	328	219	
1	2	3	3	2	1	1	2	0	6	4	4	1	1	5	2	5	1	0	5	0	1	2	1	4	0	2	4	5	3	7	6	5	7	2	1	5	4	5	0	
2	2	1	2	1	1	2	4	0	6	3	3	1	0	5	9	4	3	2	0	0	4	1	2	5	0	0	1	6	7	2	5	5	3	5	0	4	5	5	4	
1	1	1	0	0	2	1	3	0	0	0	1	0	0	2	2	3	1	2	1	2	0	2	0	0	2	0	0	0	0	4	4	3	4	2	2	1	7	1	1	
0	0	0	0	4	0	0	0	0	1	1	2	1	1	0	1	0	1	0	2	0	0	0	0	1	0	0	0	2	0	3	1	1	1	1	0	1	1	1	0	
