"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	
1052	1139	972	1095	1532	1610	1012	1578	591	1298	1941	1840	1742	1340	1421	1903	2078	418	1235	1298	1883	1886	1361	1929	1876	2079	2234	1022	986	1913	1097	1476	217	1891	1191	2034	507	743	262	233	784	
800	850	700	800	1150	1350	800	1200	500	1000	1500	1350	1250	1000	1050	1400	1600	300	950	1100	1350	1400	1000	1500	1350	1550	1650	800	750	1400	800	1150	250	1400	900	1500	550	950	300	280	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
513	559	424	535	767	893	428	845	284	546	1017	1101	999	744	728	1101	1165	187	572	672	994	804	758	1130	781	1153	1214	532	454	1053	506	673	217	949	579	802	507	599	226	215	541	
64	60	43	44	172	56	35	35	56	59	38	50	30	49	48	49	29	37	50	67	74	74	72	77	53	126	41	38	61	47	79	45	0	75	33	55	0	68	23	16	110	
223	231	233	221	211	401	337	320	160	395	445	199	221	207	274	250	406	76	328	361	282	522	170	293	516	271	395	230	235	300	215	432	33	376	288	643	43	283	51	49	349	
64	60	43	44	172	56	35	35	56	59	38	50	30	49	48	49	29	37	50	67	74	69	72	77	53	126	41	38	61	47	79	45	0	75	33	55	0	68	23	16	110	
513	559	424	535	767	893	428	845	284	546	1017	1101	999	744	728	1101	1165	187	572	672	994	804	758	1130	781	1153	1214	532	454	1053	506	673	217	949	579	802	507	599	226	215	541	
2	7	3	7	6	8	5	6	4	5	18	12	11	10	11	17	9	1	10	4	5	14	9	56	8	20	15	2	3	16	9	16	4	11	15	9	15	10	0	0	21	
575	612	464	572	933	941	458	874	336	600	1037	1139	1018	783	765	1133	1185	223	612	735	1063	859	821	1151	826	1259	1240	568	512	1084	576	702	213	1013	597	848	492	657	249	231	630	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	7	4	5	9	2	4	1	1	6	8	5	8	6	12	8	5	4	1	4	6	8	5	3	5	12	4	3	4	8	2	2	5	8	2	5	3	4	1	2	
140	107	75	112	152	165	89	163	59	109	209	205	175	128	143	220	236	61	92	131	179	146	124	185	126	258	195	89	90	170	120	129	21	158	107	158	54	121	40	34	115	
37	35	36	37	62	61	28	62	27	37	64	82	78	48	52	71	79	17	39	75	93	71	58	65	50	75	71	37	31	73	24	24	22	62	42	25	97	36	5	9	54	
386	448	329	403	689	681	329	621	244	441	728	817	739	575	536	798	837	137	461	514	769	606	609	874	629	886	929	417	377	820	412	523	159	765	424	645	311	482	198	184	449	
4	9	7	3	10	10	5	9	3	3	8	11	4	9	7	13	11	1	4	5	4	12	10	8	4	10	13	7	5	3	4	3	8	4	6	6	20	4	0	2	7	
3	3	1	4	8	3	1	4	1	2	9	7	7	8	10	6	2	0	8	3	6	6	5	4	3	12	6	9	4	7	5	15	0	11	4	5	1	3	0	1	3	
1	1	4	5	4	7	2	5	1	3	5	2	2	3	3	10	6	0	1	3	6	4	4	6	10	4	5	0	0	3	0	4	0	5	3	5	4	7	0	0	0	
2	5	5	4	3	5	2	6	0	4	8	7	8	4	8	3	6	2	3	3	2	8	3	4	1	9	9	5	2	4	3	2	1	3	3	2	0	1	2	0	0	
