"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	
1978	2142	1315	2416	2021	1057	284	976	874	111	558	606	105	573	1237	556	318	988	431	273	
1427	1549	1007	1786	1480	777	259	722	659	113	426	498	109	469	909	464	304	812	367	233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1093	1180	871	1306	1145	650	203	614	585	55	361	418	76	392	769	410	235	653	303	200	
134	84	53	86	114	83	12	56	65	10	40	72	7	52	67	42	35	91	25	24	
200	285	83	394	221	44	44	52	9	48	25	8	26	25	73	12	34	68	39	9	
134	84	53	86	114	83	12	56	65	10	40	72	7	52	67	42	35	91	25	24	
1091	1180	871	1306	1145	650	203	614	585	55	361	418	76	392	769	410	235	653	303	200	
10	8	5	18	19	7	5	14	6	0	5	5	0	3	8	4	2	4	3	2	
1215	1256	919	1374	1240	726	210	656	644	65	396	485	83	441	828	448	268	740	325	222	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	10	4	12	12	8	1	3	2	1	1	1	0	1	4	0	1	2	1	0	
408	424	325	469	377	143	32	177	215	18	161	87	6	119	263	147	35	121	122	39	
81	99	48	97	75	52	15	36	45	7	16	39	3	50	52	26	18	80	29	30	
685	696	520	770	752	506	161	430	377	37	215	352	73	260	502	268	212	527	168	142	
4	5	10	12	8	2	0	2	1	0	1	0	1	5	2	3	1	5	2	7	
8	14	5	9	8	6	0	4	1	2	2	5	0	3	4	3	1	2	2	1	
8	4	3	5	4	4	1	2	2	0	0	1	0	3	1	1	0	2	0	1	
7	4	4	0	4	5	0	2	1	0	0	0	0	0	0	0	0	1	1	2	
