"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	
256	209	302	448	453	614	330	289	2259	311	312	439	218	423	131	234	355	1986	322	245	570	
220	200	290	410	420	560	280	270	2090	290	280	400	200	390	120	230	350	1850	290	200	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
158	65	161	216	275	299	177	149	1462	163	176	207	101	205	63	139	160	1052	167	118	303	
42	66	112	70	78	81	63	66	91	38	61	87	39	75	26	42	36	114	95	75	93	
20	69	17	124	67	180	40	55	537	89	43	106	60	110	31	49	154	684	28	7	104	
42	66	112	70	78	81	63	66	91	38	61	87	39	75	26	42	36	114	95	75	93	
158	65	161	216	275	299	177	149	1462	163	176	207	101	205	63	138	160	1052	167	118	303	
3	0	1	1	2	5	1	0	16	0	1	2	1	7	0	3	1	15	2	2	4	
197	131	272	285	351	375	239	215	1537	201	236	292	139	273	89	177	195	1151	260	191	392	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	4	3	0	0	0	12	2	1	3	0	1	0	1	1	9	0	0	2	
6	12	21	15	22	20	26	22	247	20	25	15	13	20	8	15	19	98	19	17	33	
7	5	11	11	12	28	10	8	60	11	5	13	9	10	6	8	7	69	13	11	29	
182	113	235	250	312	325	199	183	1195	165	202	258	114	239	75	150	165	950	228	160	323	
1	0	2	2	0	1	2	0	12	2	2	1	2	0	0	1	2	10	0	1	3	
0	0	3	2	1	0	0	2	1	1	1	1	1	1	0	1	1	6	0	2	1	
0	1	0	0	1	1	1	0	4	0	0	1	0	1	0	0	0	2	0	0	1	
0	0	0	1	0	0	1	0	6	0	0	0	0	1	0	1	0	7	0	0	0	
