"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №2023"	"УИК №2042"	
1464	2071	2078	1431	1678	907	2384	2008	2074	2484	920	760	848	314	
1450	2100	2000	1400	1600	900	2300	1850	2050	2450	900	700	800	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
691	1046	956	723	996	554	1426	1340	1237	1223	508	380	572	285	
37	41	136	50	21	8	56	20	25	27	17	7	18	0	
722	1013	908	627	583	338	818	490	788	1200	375	313	210	265	
37	41	136	50	21	8	56	20	25	27	17	7	18	0	
691	1046	955	723	996	554	1426	1340	1236	1223	508	380	572	285	
17	18	19	7	13	20	18	21	22	25	10	4	12	4	
711	1069	1072	766	1004	542	1464	1339	1239	1225	515	383	578	281	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	9	6	8	5	11	7	2	8	5	2	6	1	
95	185	119	130	182	85	254	220	203	218	83	63	90	52	
51	72	71	58	64	38	90	126	84	83	41	26	36	19	
552	780	840	554	714	398	1065	921	902	868	367	282	415	201	
5	12	4	4	11	4	17	33	11	11	11	2	14	4	
2	4	12	9	1	1	5	8	9	13	2	4	5	0	
0	5	10	1	8	3	4	10	11	9	1	4	4	2	
3	5	7	4	16	8	18	14	17	15	5	0	8	2	
