"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	
796	1499	1284	1124	740	1380	1232	1321	541	834	1317	1173	1173	646	502	633	597	784	637	441	310	331	449	354	323	207	199	423	182	221	106	165	231	
800	1400	1300	1100	700	1400	1200	1300	500	800	1300	1200	1100	600	500	600	600	750	650	400	300	300	450	350	300	200	200	400	200	200	100	150	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
322	869	718	556	375	843	690	797	346	462	593	577	618	299	231	405	261	388	337	210	132	148	202	138	165	68	97	266	78	98	38	73	99	
76	41	22	48	17	30	29	48	16	38	78	59	44	47	57	48	42	36	100	87	31	23	30	26	46	35	36	38	32	33	27	19	18	
402	490	560	496	308	527	480	455	138	300	629	564	438	254	212	147	297	326	213	103	137	129	218	186	89	97	67	96	90	69	35	58	83	
76	41	22	48	17	30	29	48	16	38	78	59	44	47	57	48	42	36	100	87	31	23	30	26	46	35	36	38	32	33	27	19	18	
322	868	716	555	375	843	690	797	346	462	593	577	618	299	231	405	261	388	337	210	132	148	202	138	165	68	97	266	78	98	38	73	99	
2	6	8	8	3	8	6	7	4	3	14	7	7	4	5	4	1	3	3	2	0	1	3	0	0	1	0	1	0	1	0	0	0	
396	903	730	595	389	865	713	838	358	497	657	629	655	342	283	449	302	421	434	295	163	170	229	164	211	102	133	303	110	130	65	92	117	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	3	3	3	10	3	2	5	2	2	5	1	2	0	5	2	4	4	1	0	1	0	1	2	1	3	0	1	0	1	0	3	
34	108	76	65	58	92	78	101	38	59	80	72	82	31	13	36	24	35	31	21	13	17	8	4	19	9	6	27	8	12	5	0	5	
26	60	58	47	25	59	46	61	27	38	45	31	44	18	12	19	21	38	29	26	12	12	21	17	15	11	10	27	13	7	5	10	6	
315	693	568	461	287	669	561	657	272	380	509	497	502	286	249	372	244	337	360	244	133	140	195	133	172	79	113	239	85	110	52	80	98	
7	14	10	8	5	10	13	6	5	4	6	8	8	2	3	5	6	2	5	2	2	0	5	1	1	2	0	8	0	0	0	2	2	
4	7	4	2	5	7	4	4	2	4	8	5	8	3	5	4	0	2	3	1	0	0	0	3	0	0	0	1	0	0	1	0	2	
2	7	6	7	1	11	3	2	2	8	4	4	4	0	0	6	0	3	1	0	3	0	0	3	1	0	1	1	2	0	1	0	1	
5	8	5	2	5	7	5	5	7	2	3	7	6	0	1	2	5	0	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	
