"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	
372	301	218	1567	207	265	125	276	360	186	163	
373	302	218	1565	209	265	126	278	364	185	162	
0	0	0	0	0	0	0	0	0	0	0	
240	237	151	1029	181	214	92	230	299	154	142	
79	45	57	158	20	45	23	29	41	24	15	
54	20	10	378	8	6	11	19	24	7	5	
79	45	57	158	20	45	23	29	41	24	15	
240	237	151	1029	181	214	92	230	299	154	142	
1	2	0	15	0	0	1	0	2	2	0	
318	280	208	1172	201	259	114	259	338	176	157	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	1	0	4	0	2	0	0	2	0	0	
48	13	12	199	18	42	8	18	28	14	11	
8	17	16	73	8	11	4	9	8	2	3	
259	242	178	862	173	200	101	230	294	156	141	
2	2	1	16	1	3	1	0	3	1	1	
0	4	1	8	0	1	0	0	1	3	1	
0	0	0	5	1	0	0	0	1	0	0	
0	1	0	5	0	0	0	2	1	0	0	
