"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	
443	2344	2748	1380	1790	1450	1657	244	1183	2297	924	1011	319	1241	1703	435	1123	175	225	157	108	995	489	
425	2347	2664	1380	1845	1482	1763	250	1199	2356	926	1001	315	1333	1693	415	1115	178	222	143	130	1102	489	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
285	1292	1609	789	1132	790	1062	130	682	1390	554	398	247	716	1125	256	810	139	181	133	98	665	345	
65	254	204	117	100	210	89	31	160	176	48	395	33	209	248	115	62	3	23	5	5	144	41	
75	801	851	474	613	482	612	89	357	790	324	208	35	408	320	44	243	36	18	5	27	293	103	
65	254	204	117	100	210	89	31	160	176	48	395	33	209	248	115	62	3	23	5	5	144	41	
285	1292	1609	789	1132	790	1062	130	682	1390	554	398	247	716	1125	256	810	139	181	133	98	665	345	
7	15	28	11	10	10	17	6	11	26	13	12	0	13	11	1	19	1	3	1	18	15	4	
343	1531	1785	895	1222	990	1134	155	831	1540	589	781	280	912	1362	370	853	141	201	137	85	794	382	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	13	4	11	11	4	5	3	5	11	0	6	2	12	7	0	8	2	1	0	1	12	1	
24	230	277	115	157	127	181	47	236	326	134	54	43	173	198	26	122	2	12	10	8	158	54	
3	86	106	64	75	57	65	10	30	109	42	22	9	76	72	10	53	12	24	10	4	55	28	
313	1179	1362	684	966	785	857	93	548	1058	408	688	226	606	1046	328	648	123	161	115	71	546	285	
1	8	15	8	5	7	8	1	4	9	3	7	0	6	12	5	6	0	1	1	0	4	4	
0	11	5	7	3	8	7	1	5	15	2	2	0	20	10	1	10	2	1	0	0	4	4	
0	4	13	1	3	1	7	0	1	8	0	2	0	13	7	0	4	0	0	1	1	4	4	
2	0	3	5	2	1	4	0	2	4	0	0	0	6	10	0	2	0	1	0	0	11	2	
