"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	
1559	1924	1695	842	1563	2210	1701	2348	1797	2238	1775	2030	2517	2540	1456	2063	111	1685	2410	2746	2717	1819	1515	1700	1635	1780	2130	1955	1409	
1559	1727	1707	863	1563	1990	1701	2063	1797	2015	1775	1835	2217	2300	1471	1856	111	1703	2129	2492	2432	1822	1512	1865	1629	1780	1835	1767	1410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1269	1566	1397	669	1272	1794	1391	1869	1655	1902	1615	1668	2007	2095	1194	1655	92	1388	1931	2262	2221	1485	1234	1700	1329	1448	1756	1553	1151	
0	0	6	26	0	0	2	0	0	0	0	5	2	5	5	5	0	0	0	9	1	4	3	0	0	0	6	47	8	
290	161	304	168	291	196	308	194	142	113	160	162	208	200	272	196	19	315	198	221	210	333	275	165	300	332	73	167	251	
0	0	6	26	0	0	2	0	0	0	0	5	2	5	5	5	0	0	0	9	1	4	3	0	0	0	6	47	8	
1269	1566	1397	669	1272	1794	1391	1869	1655	1902	1615	1668	2007	2095	1194	1655	92	1388	1931	2262	2221	1485	1234	1700	1329	1448	1756	1553	1151	
0	0	11	6	0	0	0	0	4	18	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	14	
1269	1566	1392	689	1272	1794	1393	1869	1651	1884	1615	1660	2009	2100	1199	1660	92	1388	1931	2271	2222	1489	1237	1695	1329	1448	1762	1600	1145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	17	2	7	14	19	15	12	6	2	17	5	22	13	13	18	1	15	21	24	24	18	13	18	14	16	19	17	3	
62	83	59	37	67	95	74	103	101	38	85	68	106	111	63	89	5	73	102	120	118	91	66	90	70	77	93	85	89	
55	68	22	1	55	77	60	86	8	2	70	4	87	41	52	72	4	60	83	98	96	64	53	73	57	62	81	69	8	
1049	1294	1232	618	1051	1484	1151	1517	1452	1806	1335	1483	1660	1668	991	1370	76	1147	1596	1877	1836	1202	1022	1401	1097	1198	1450	1322	984	
10	12	13	14	10	14	11	41	20	12	13	16	16	6	9	13	1	11	15	18	17	16	10	13	13	10	14	13	31	
4	5	2	2	4	5	4	13	3	1	5	1	6	6	4	5	0	4	6	7	7	14	4	5	4	4	6	5	9	
34	41	18	5	34	47	37	42	2	2	43	4	53	36	32	44	2	37	51	60	59	35	33	45	35	38	47	42	4	
39	46	44	5	37	53	41	55	59	21	47	79	59	219	35	49	3	41	57	67	65	49	36	50	39	43	52	47	17	
