"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	
1572	336	359	413	760	890	733	
2263	338	363	411	800	958	733	
0	0	0	41	397	112	80	
1405	238	332	359	351	739	578	
53	97	23	8	12	37	75	
805	3	8	3	40	70	0	
53	97	23	49	409	149	155	
1405	238	332	359	351	739	578	
20	0	2	0	0	37	0	
1438	335	353	408	760	851	733	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

3	0	1	1	0	0	0	
68	4	4	1	0	3	2	
10	1	1	0	0	0	0	
1341	330	347	405	760	848	731	
8	0	0	1	0	0	0	
4	0	0	0	0	0	0	
3	0	0	0	0	0	0	
1	0	0	0	0	0	0	
