"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	
560	176	1672	240	915	398	341	329	913	332	285	403	331	285	496	385	402	329	486	398	415	179	354	370	534	585	700	532	71	1419	1508	1292	890	2030	1337	2128	2771	2999	
530	170	1700	200	900	370	300	300	900	300	250	370	320	260	470	380	400	300	450	400	400	175	330	350	500	550	700	500	70	1300	1300	1200	800	1800	1100	2000	2500	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
225	136	1265	135	637	281	175	218	669	225	149	263	192	214	297	232	243	220	265	269	242	135	196	314	284	305	371	291	55	802	722	970	653	1206	907	1305	1499	1710	
248	25	133	63	119	38	62	60	93	49	94	103	79	19	64	87	68	58	98	52	58	6	114	12	55	38	91	87	5	157	111	27	52	259	34	39	50	63	
57	9	302	2	144	51	63	22	138	26	7	4	49	27	109	61	89	22	87	79	100	34	20	24	161	207	238	122	10	341	467	203	95	335	159	656	951	727	
248	25	133	63	119	38	62	60	93	49	94	103	79	19	64	87	68	58	98	52	58	6	114	12	55	38	91	87	5	157	111	27	52	259	34	39	50	63	
225	136	1265	135	637	281	175	218	669	225	149	263	192	214	297	232	243	220	265	269	242	135	196	314	284	305	371	291	55	801	722	970	653	1206	907	1305	1499	1710	
2	0	8	2	1	3	2	0	9	4	2	5	0	2	4	1	1	3	1	0	4	0	0	2	4	3	2	1	0	12	10	12	1	19	8	17	19	16	
471	161	1390	196	755	316	235	278	753	270	241	361	271	231	357	318	310	275	362	321	296	141	310	324	335	340	460	377	60	946	823	985	704	1446	933	1327	1530	1757	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	13	3	3	0	1	2	1	0	4	2	0	1	7	0	1	0	0	1	3	0	2	2	3	3	5	3	0	5	3	6	12	9	7	9	12	11	
49	10	122	29	42	32	29	20	45	33	48	28	7	43	25	24	23	16	16	22	26	22	19	25	36	38	49	30	4	111	95	85	63	143	90	197	182	224	
27	10	64	9	49	13	16	22	27	13	6	24	14	14	16	10	10	27	12	18	19	9	19	17	24	29	26	22	2	58	55	47	31	105	64	101	125	183	
376	138	1149	152	651	267	188	228	672	222	179	301	249	168	303	274	271	226	326	271	240	104	260	273	265	261	366	317	54	736	646	827	576	1127	752	976	1157	1292	
2	1	12	2	5	1	0	2	4	0	2	5	1	2	1	5	4	2	3	3	7	4	5	4	5	5	9	1	0	13	6	7	7	38	7	12	25	19	
10	2	7	0	2	1	0	0	1	1	1	0	0	2	1	2	0	3	3	0	0	1	3	2	0	2	1	2	0	9	5	7	10	7	6	14	14	10	
7	0	19	1	2	1	1	2	2	1	0	0	0	1	0	1	0	1	2	6	1	1	1	0	2	1	1	2	0	8	5	2	3	8	2	8	7	12	
0	0	4	0	1	1	0	2	1	0	1	1	0	0	4	2	1	0	0	0	0	0	1	1	0	1	3	0	0	6	8	4	2	9	5	10	8	6	
