"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	
1850	272	1166	1393	196	279	320	148	506	383	931	664	758	278	468	720	683	633	1201	994	1442	994	1157	1184	1856	1792	2009	2027	2150	1820	1731	1653	1624	1689	
1850	350	1050	1400	210	280	340	170	530	390	880	700	750	250	500	700	700	640	1200	950	1550	1050	1100	1200	1800	1750	2000	2150	2150	1750	1800	1700	1650	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1058	172	757	823	92	242	247	133	356	344	662	502	575	169	363	477	410	512	700	597	898	646	757	727	1352	1320	1481	1371	1383	1038	1113	1040	1039	1029	
739	52	106	146	86	14	14	4	40	23	35	142	57	43	54	42	137	23	31	37	20	36	29	26	27	30	14	33	76	34	50	44	50	34	
53	126	187	431	32	24	79	33	134	23	183	56	118	38	83	181	153	105	469	316	632	368	314	447	421	400	505	746	691	678	637	616	561	637	
739	52	106	146	86	14	14	4	40	23	35	142	57	43	54	42	137	23	31	37	20	36	29	26	27	30	14	33	76	34	50	44	50	34	
1055	172	757	823	92	242	247	133	356	344	662	502	575	169	363	477	410	512	700	597	898	646	757	727	1352	1320	1481	1371	1383	1038	1113	1040	1039	1028	
12	2	6	8	0	0	5	0	3	1	9	7	4	2	7	3	4	5	8	4	14	6	9	13	26	25	24	17	20	18	14	20	15	14	
1782	222	857	961	178	256	256	137	393	366	688	637	628	210	410	516	543	530	723	630	904	676	777	740	1353	1325	1471	1387	1439	1054	1149	1064	1074	1048	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	8	3	0	1	0	0	1	3	3	1	2	0	1	12	3	4	3	12	7	5	3	9	24	18	16	12	7	8	7	6	2	10	
156	21	77	134	20	13	28	12	31	30	65	61	69	21	35	42	44	42	59	63	86	74	79	56	192	175	178	152	147	119	159	141	150	156	
100	12	73	60	11	24	12	5	16	12	25	36	41	15	15	33	42	45	45	39	56	32	51	30	85	46	113	74	117	73	60	71	68	78	
1480	182	674	749	144	217	205	118	344	316	567	520	509	172	346	418	442	423	587	497	727	532	622	620	981	1015	1090	1100	1120	824	896	814	814	767	
18	0	11	4	1	1	5	1	0	2	8	4	1	0	4	4	2	10	10	12	7	9	7	6	28	24	27	14	11	12	9	13	8	13	
3	0	4	5	2	0	5	1	1	1	5	4	4	2	0	1	3	2	7	5	2	4	2	8	15	18	11	5	21	8	7	7	9	5	
9	1	5	3	0	0	1	0	0	0	8	4	2	0	1	4	4	2	7	2	8	4	8	6	16	9	16	17	10	6	8	6	17	9	
14	3	5	3	0	0	0	0	0	2	7	7	0	0	8	2	3	2	5	0	11	16	5	5	12	20	20	13	6	4	3	6	6	10	
