"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	
2453	2594	2572	2640	285	533	1079	1547	581	1074	1354	880	
2300	2400	2400	2500	270	500	1000	1400	600	1000	1300	850	
0	0	0	0	0	0	0	0	0	0	0	0	
1347	1366	1326	1349	219	396	438	673	343	570	748	384	
119	163	158	136	38	40	129	174	53	54	112	126	
834	871	916	1015	13	64	433	553	204	376	440	340	
119	163	158	136	38	40	129	174	53	54	112	126	
1347	1366	1326	1349	219	396	438	673	343	570	748	384	
13	23	19	18	2	9	13	6	5	11	12	9	
1453	1506	1465	1467	255	427	554	841	391	613	848	501	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

6	12	10	7	2	4	3	12	3	2	3	4	
269	282	278	268	39	99	118	130	80	152	163	73	
80	105	84	82	3	24	31	57	26	18	35	20	
1058	1070	1046	1077	207	294	386	625	275	437	640	395	
12	10	16	7	2	3	8	5	3	4	4	4	
17	10	14	17	2	2	3	9	2	0	1	2	
6	11	12	3	0	1	2	0	2	0	0	1	
5	6	5	6	0	0	3	3	0	0	2	2	
