"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	
1441	1538	662	365	445	554	249	102	291	255	223	245	288	196	427	307	431	433	337	472	243	
1400	1400	670	380	450	545	245	100	300	265	220	250	290	200	430	300	440	430	340	490	235	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
840	886	500	280	334	343	189	75	198	191	159	160	189	156	306	244	320	310	234	350	188	
107	112	55	19	53	103	47	18	61	25	40	59	61	32	65	20	47	53	52	45	22	
453	402	115	81	63	99	9	7	41	49	21	31	40	12	59	36	73	67	54	95	25	
107	112	55	19	53	103	47	18	61	25	40	59	61	32	65	20	47	53	52	45	22	
839	885	500	280	334	343	189	75	198	191	159	160	189	156	306	244	320	310	234	350	188	
11	17	3	6	6	16	1	0	4	5	1	0	0	0	1	3	0	4	2	0	0	
935	980	552	293	381	430	235	93	255	211	198	219	250	188	370	261	367	359	284	395	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	2	1	3	1	0	0	1	0	1	0	2	0	1	0	1	0	1	0	0	
149	112	23	14	14	18	1	0	24	15	5	10	4	5	9	11	11	20	17	37	29	
44	58	26	7	21	33	2	2	19	16	8	15	11	13	30	18	22	29	33	18	4	
715	788	496	264	340	373	232	90	208	177	184	192	232	170	327	227	331	306	232	340	175	
11	4	2	3	1	4	0	1	1	1	0	1	0	0	1	3	0	3	1	0	1	
5	9	3	4	2	0	0	0	2	1	0	1	1	0	0	1	2	0	0	0	1	
2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	
3	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
