"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	
1390	1697	1045	439	134	512	485	296	181	426	773	567	419	1564	287	582	352	439	630	129	
1425	1786	1100	455	135	535	505	306	195	435	795	565	440	1617	305	575	375	455	660	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
919	944	507	274	77	330	284	176	124	157	460	355	267	852	131	353	193	306	452	69	
295	209	446	114	40	111	109	73	30	214	176	99	85	377	115	163	145	72	84	36	
211	633	147	67	18	94	112	57	41	64	159	111	88	388	59	59	37	77	124	35	
295	209	446	114	40	111	109	73	30	214	176	99	85	377	115	163	145	72	84	36	
919	944	507	274	77	330	284	176	124	157	460	355	267	852	131	353	193	306	452	69	
7	4	3	1	0	0	2	0	0	2	30	3	0	14	1	0	1	3	5	0	
1207	1149	950	387	117	441	391	249	154	369	606	451	352	1215	245	516	337	375	531	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	14	2	1	0	1	1	0	0	1	4	2	2	10	1	2	1	0	2	0	
66	180	16	12	6	14	42	25	7	17	30	20	21	133	20	17	6	11	7	2	
25	67	10	7	5	19	17	8	8	7	21	24	10	92	19	24	10	14	15	3	
1103	861	917	361	104	405	327	213	139	341	545	398	317	946	203	465	318	348	497	99	
1	9	2	3	0	0	0	2	0	2	2	0	0	10	1	2	1	0	4	0	
3	8	1	2	2	1	3	0	0	1	1	7	1	12	1	3	0	1	6	1	
2	6	1	1	0	1	1	1	0	0	3	0	1	7	0	1	0	1	0	0	
2	4	1	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	
