"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	
1285	923	332	42	572	562	433	256	264	243	901	495	268	186	542	789	333	531	451	72	
1365	950	380	44	642	635	485	320	315	265	1035	530	295	206	600	935	370	585	470	73	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1074	727	253	41	435	464	356	223	230	217	740	454	244	154	477	641	285	442	383	70	
69	95	63	1	83	70	60	19	21	20	123	28	17	26	61	134	41	80	63	2	
222	128	64	2	124	101	69	78	64	28	172	48	34	26	62	160	44	63	24	1	
69	95	63	1	83	70	60	19	21	20	123	28	17	26	61	134	41	80	63	2	
1074	727	253	41	435	464	356	223	230	217	740	454	244	154	477	641	285	442	383	70	
29	11	3	0	3	12	6	2	3	7	14	1	3	0	8	3	3	1	6	0	
1114	811	313	42	515	522	410	240	248	230	849	481	258	180	530	772	323	521	440	72	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	0	0	2	2	2	0	1	0	2	2	1	0	0	2	2	3	0	0	
152	115	14	0	64	19	22	28	29	7	116	32	22	5	15	89	31	23	16	3	
73	53	16	0	26	17	9	8	11	4	12	17	9	2	6	34	9	11	9	0	
860	622	279	42	417	477	370	200	202	216	715	426	222	172	505	631	273	479	411	69	
10	10	2	0	2	1	5	2	4	1	0	2	3	0	2	8	3	2	2	0	
8	9	1	0	1	6	1	1	1	1	1	1	1	0	2	3	3	1	2	0	
2	0	0	0	1	0	0	1	0	1	2	1	0	0	0	3	1	2	0	0	
5	0	1	0	2	0	1	0	0	0	1	0	0	1	0	2	1	0	0	0	
