"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	
836	1114	1116	2086	1767	1141	1788	1493	1759	1860	2057	1928	1490	1593	201	666	340	356	449	139	1248	561	1000	1900	2006	2024	2236	1792	2293	1871	1730	2105	2433	1687	1427	2204	2381	2675	2813	1560	1324	1984	1341	2285	1409	1214	2073	
840	1120	1140	2140	1795	1155	1840	1510	1780	1950	2020	1930	1540	1650	200	670	340	360	465	140	1260	570	1015	1915	2045	2140	2240	1970	2330	1930	1780	2180	2500	1730	1430	2220	2470	2730	2780	1600	1360	2000	1370	2310	1450	1280	2080	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
688	952	953	1790	1532	968	1535	1207	1265	1488	1270	1205	1287	1298	161	510	266	252	355	92	898	471	732	1440	1667	1644	1806	1222	1904	1560	1412	1797	1971	1368	1119	1712	1882	2124	2282	1356	1108	1227	1165	1991	1130	1008	1680	
46	59	43	66	37	25	46	112	296	74	78	64	31	72	28	42	30	60	78	35	170	32	131	135	111	137	71	66	75	57	59	37	52	50	35	124	92	122	26	41	46	42	54	50	78	55	78	
106	109	144	284	226	162	259	191	219	388	672	661	222	280	11	118	44	48	32	13	192	67	152	340	267	359	363	682	351	313	309	346	477	312	276	384	496	484	472	203	206	731	151	269	242	217	322	
46	59	43	66	37	25	46	112	296	74	78	64	31	72	28	42	30	60	78	35	170	32	131	135	111	137	71	66	75	57	59	37	52	50	35	124	92	122	26	41	46	42	54	50	78	55	78	
688	952	953	1790	1532	968	1535	1207	1265	1488	1270	1205	1287	1298	161	510	266	252	355	92	898	471	732	1440	1667	1644	1806	1222	1904	1560	1412	1797	1971	1368	1119	1712	1882	2124	2282	1356	1108	1227	1165	1991	1130	1008	1680	
4	5	3	9	7	2	4	4	5	7	23	29	2	4	2	2	1	1	1	0	3	2	2	3	5	9	7	16	7	7	5	7	3	2	2	8	4	12	9	5	2	22	3	7	2	2	6	
730	1006	993	1847	1562	991	1577	1315	1556	1555	1325	1240	1316	1366	187	550	295	311	432	127	1065	501	861	1572	1773	1772	1870	1272	1972	1610	1466	1827	2020	1416	1152	1828	1970	2234	2299	1392	1152	1247	1216	2034	1206	1061	1752	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	6	10	6	9	5	6	12	13	12	4	9	6	1	5	2	2	2	1	7	5	3	9	10	11	15	10	10	8	11	15	13	11	11	9	12	12	16	8	12	6	7	17	8	8	9	
30	32	29	62	45	27	68	32	48	209	215	182	41	61	9	17	9	14	12	4	34	8	42	47	73	51	70	220	59	98	49	41	76	31	37	73	84	76	63	51	54	214	29	64	29	32	173	
18	27	21	49	47	24	53	41	38	41	136	116	36	37	4	12	8	11	9	3	29	14	31	36	56	49	49	137	52	64	41	38	63	33	32	61	78	69	61	47	31	146	36	59	33	25	57	
657	923	918	1684	1442	903	1428	1209	1438	1248	914	891	1208	1241	169	503	271	276	398	114	967	464	771	1436	1597	1617	1684	875	1804	1406	1332	1680	1833	1304	1045	1641	1752	2028	2106	1261	1019	836	1128	1839	1108	979	1482	
1	2	2	8	4	4	1	2	7	9	20	21	3	3	0	1	1	1	1	1	4	1	1	5	5	5	8	15	8	7	3	5	4	6	3	7	5	5	8	4	4	18	3	6	2	2	5	
9	8	9	17	9	11	11	14	3	13	13	7	9	9	2	7	1	3	5	2	13	5	8	21	19	20	21	8	18	12	18	26	21	15	12	15	21	26	29	12	18	12	9	24	14	7	8	
6	6	5	9	6	8	7	8	8	16	6	6	7	5	1	4	2	3	4	1	8	3	3	12	9	15	14	3	14	7	5	18	5	9	8	17	14	12	9	6	11	6	1	18	9	5	12	
2	3	3	8	3	5	4	3	2	6	9	13	3	4	1	1	1	1	1	1	3	1	2	6	4	4	9	4	7	8	7	4	5	7	4	5	4	6	7	3	3	9	3	7	3	3	6	
