"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	
267	348	505	435	345	577	403	448	713	218	484	144	620	376	215	343	80	534	1314	1408	1414	1392	1367	
270	340	500	450	350	600	400	450	750	240	520	160	600	400	240	350	80	500	1300	1400	1400	1300	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
188	224	261	300	189	330	252	328	366	105	379	120	422	282	106	231	51	268	763	865	776	834	856	
46	60	106	47	55	108	77	83	155	78	85	14	90	53	41	75	11	81	112	114	129	125	136	
36	56	133	103	106	162	71	39	229	57	56	26	88	65	93	44	18	151	425	421	495	341	408	
46	60	106	47	55	108	77	83	155	78	85	14	90	53	41	75	11	81	112	114	129	125	136	
188	224	261	300	189	330	252	328	366	105	379	120	422	282	106	231	51	268	763	865	776	834	856	
2	2	2	6	5	5	2	1	7	1	0	2	2	4	3	1	1	6	8	14	12	9	18	
232	282	365	341	239	433	327	410	514	182	464	132	510	331	144	305	61	343	867	965	893	950	974	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	3	1	2	0	1	3	1	0	0	1	2	1	1	1	3	5	2	7	4	4	
27	16	52	43	20	79	44	103	75	33	24	17	70	71	23	15	3	47	168	240	178	195	185	
12	20	26	37	11	20	18	33	46	8	11	6	25	22	13	21	2	31	62	70	75	76	58	
188	242	278	255	206	323	261	267	384	139	427	106	408	230	103	263	54	254	603	626	611	647	703	
2	0	2	0	0	4	1	2	1	1	0	0	2	5	2	1	0	2	7	4	5	8	4	
1	1	4	1	1	3	1	3	1	0	1	1	3	0	2	2	0	2	9	9	9	6	12	
1	1	0	1	0	1	1	1	4	0	0	1	0	1	0	1	1	4	6	5	5	7	6	
1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	7	9	3	7	2	
