"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1931"	"УИК №1932"	"УИК №1934"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1952"	"УИК №1953"	"УИК №1977"	"УИК №2079"	
724	917	647	618	465	702	447	84	132	315	93	82	69	209	142	212	48	338	109	92	41	78	322	105	1026	657	
750	1050	730	650	500	800	600	80	160	300	100	80	70	240	150	220	50	300	120	100	40	90	350	100	1100	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	
333	447	321	232	229	362	267	38	73	203	60	53	46	118	103	173	39	210	73	59	30	53	154	62	521	276	
51	57	30	36	38	47	30	9	29	24	5	11	5	24	9	7	3	11	13	5	4	8	19	11	54	50	
366	546	379	382	233	391	303	33	58	73	35	16	19	98	38	40	8	47	34	36	6	29	177	27	525	324	
51	57	30	36	38	47	30	9	29	24	5	11	5	24	9	7	3	43	13	5	4	8	19	11	54	50	
333	447	321	232	229	362	267	38	73	203	60	53	46	118	103	173	39	210	73	59	30	53	154	62	521	276	
1	6	2	4	0	4	2	0	0	0	2	0	1	2	0	1	0	4	1	0	0	0	4	0	3	4	
383	498	349	264	267	405	295	47	102	227	63	64	50	140	112	179	42	249	85	64	34	61	169	73	572	322	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	3	0	4	3	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	1	0	0	6	1	
52	72	53	26	55	45	32	1	17	6	0	1	0	11	4	10	1	11	2	11	0	5	37	8	83	42	
37	41	28	16	22	26	29	7	4	9	0	6	3	9	16	24	2	20	4	7	2	6	20	13	48	19	
282	364	257	217	180	323	223	39	81	207	62	57	44	119	91	142	38	210	74	45	32	44	111	51	421	248	
2	6	2	0	5	2	6	0	0	3	1	0	1	0	1	2	0	4	1	0	0	1	0	0	5	6	
4	7	3	5	1	5	4	0	0	2	0	0	0	1	0	0	1	0	1	0	0	2	1	1	2	2	
2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	
2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	1	4	
