"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	
2002	2031	591	496	244	254	788	347	202	167	123	204	112	
1450	1500	450	400	200	200	600	300	150	150	100	200	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	
961	844	214	171	73	80	296	151	77	79	43	40	45	
87	102	90	89	66	45	149	23	32	18	29	80	38	
402	554	146	140	61	75	155	126	41	53	28	80	17	
87	102	90	89	66	45	149	23	32	18	29	80	38	
961	844	214	171	73	80	296	151	77	79	43	40	45	
9	8	0	5	1	0	2	0	0	1	1	0	0	
1039	938	304	255	138	125	443	174	109	96	71	120	83	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

11	10	2	0	2	2	5	2	0	1	1	0	0	
113	117	29	20	16	2	39	18	12	3	4	9	5	
101	80	21	15	20	14	58	12	4	18	9	8	6	
782	713	243	213	98	105	327	138	91	72	54	100	71	
11	6	6	2	1	1	6	0	2	0	0	1	0	
7	7	1	3	1	0	2	1	0	1	1	0	0	
10	1	1	1	0	1	3	1	0	0	0	1	0	
4	4	1	1	0	0	3	2	0	1	2	1	1	
