"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	
782	883	618	224	73	179	94	248	188	324	
735	820	598	204	75	167	100	235	189	331	
0	0	0	0	0	0	0	0	0	0	
444	446	275	105	45	43	50	104	91	162	
45	61	68	33	0	57	21	49	25	52	
246	313	255	66	30	67	29	82	73	117	
45	61	68	33	0	57	21	49	25	52	
444	446	275	105	45	43	50	104	91	162	
2	5	4	0	1	1	1	3	0	0	
487	502	339	138	44	99	70	150	116	214	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

5	6	4	0	0	1	0	1	0	1	
79	83	57	23	3	4	8	48	10	42	
70	62	57	16	8	20	22	23	10	32	
317	333	214	97	31	74	36	76	92	133	
10	7	3	1	1	0	2	0	2	2	
4	3	1	1	0	0	2	1	0	2	
1	6	2	0	1	0	0	0	1	2	
1	2	1	0	0	0	0	1	1	0	
