"УИК №5001"	"УИК №5002"	"УИК №5003"	"УИК №5004"	"УИК №5005"	"УИК №5006"	"УИК №5007"	"УИК №5008"	"УИК №5009"	"УИК №5010"	"УИК №5011"	"УИК №5012"	"УИК №5013"	"УИК №5014"	"УИК №5015"	"УИК №5016"	"УИК №5017"	"УИК №5018"	"УИК №5019"	"УИК №5020"	"УИК №5021"	"УИК №5022"	"УИК №5023"	"УИК №5024"	"УИК №5025"	"УИК №5026"	"УИК №5027"	"УИК №5028"	"УИК №5029"	"УИК №5030"	"УИК №5031"	"УИК №5032"	"УИК №5033"	"УИК №5034"	"УИК №5035"	"УИК №5036"	"УИК №5037"	"УИК №5038"	"УИК №5039"	"УИК №5040"	"УИК №5041"	"УИК №5042"	"УИК №5043"	"УИК №5044"	"УИК №5045"	"УИК №5046"	"УИК №5047"	"УИК №5048"	"УИК №5049"	"УИК №5050"	"УИК №5051"	"УИК №5052"	"УИК №5053"	"УИК №5054"	"УИК №5055"	"УИК №5056"	"УИК №5057"	"УИК №5058"	"УИК №5059"	"УИК №5060"	
1077	726	1965	1530	1786	756	1172	1623	1015	1204	1051	2155	1034	1057	1553	1867	789	1050	950	1154	2152	1400	1605	1682	1149	1234	440	2318	2357	1402	1055	1601	2202	260	434	1903	902	1903	452	2063	1051	635	1971	973	1635	409	1690	2230	1530	1387	497	1359	1134	758	1766	875	2165	903	1202	852	
1000	700	1950	1500	1700	750	1150	1550	1000	1200	1050	2150	1050	1050	1550	1850	750	1050	950	1100	2150	1300	1600	1600	1100	1150	400	2150	2350	1400	1000	1600	2200	250	400	1900	900	1900	450	2050	1050	630	1900	950	1600	350	1650	2200	1500	1350	480	1350	1050	750	1650	850	2150	900	1200	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
853	598	1296	765	756	512	762	929	577	631	676	1429	529	673	861	1026	390	780	543	741	1633	743	894	873	615	530	296	1113	1589	905	911	1204	1538	196	244	1469	629	1579	215	1239	397	492	921	820	734	231	861	1312	937	1188	422	844	625	623	941	520	1360	712	793	533	
138	102	214	189	145	99	35	166	316	161	120	70	49	105	213	153	130	114	40	82	136	75	95	57	40	94	100	182	297	251	47	144	127	46	72	282	132	177	153	188	216	122	198	53	129	70	76	400	145	140	46	120	148	94	90	83	67	121	199	60	
9	0	440	546	799	139	353	455	107	408	254	651	472	272	476	671	230	156	367	277	381	482	611	670	445	526	4	855	464	244	42	252	535	8	84	149	139	144	82	623	437	16	781	77	737	49	713	488	418	22	12	386	277	33	619	247	723	67	208	257	
138	102	214	189	145	99	35	166	316	161	120	70	49	105	213	153	130	114	40	82	136	75	95	57	40	94	100	182	297	251	47	144	127	46	72	282	132	177	153	188	216	122	198	53	129	70	76	400	145	140	46	120	148	94	90	83	67	121	199	60	
853	598	1296	765	756	512	761	929	577	631	676	1429	529	673	861	1026	390	780	543	741	1633	743	894	873	615	530	296	1113	1589	905	911	1204	1538	196	244	1469	629	1579	215	1239	397	492	921	820	734	231	861	1312	937	1188	422	844	625	623	941	520	1360	712	793	533	
14	3	17	10	14	8	7	7	4	10	5	5	8	3	10	9	2	4	7	6	9	7	13	8	12	5	0	19	16	6	7	16	25	3	2	7	1	10	0	8	19	3	17	9	13	0	15	14	9	14	0	12	4	5	10	6	20	13	11	7	
977	697	1493	944	887	603	789	1088	889	782	791	1494	570	775	1064	1170	518	890	576	817	1760	811	976	922	643	619	396	1276	1870	1150	951	1332	1640	239	314	1744	760	1746	368	1419	594	611	1102	864	850	301	922	1698	1073	1314	468	952	769	712	1021	597	1407	820	981	586	
