"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	"УИК №2162"	"УИК №2163"	"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №2172"	"УИК №2173"	"УИК №2174"	"УИК №2175"	"УИК №2176"	"УИК №2177"	"УИК №2178"	"УИК №2179"	"УИК №2180"	"УИК №2181"	"УИК №2182"	"УИК №2183"	"УИК №2184"	"УИК №2185"	"УИК №2186"	"УИК №2187"	"УИК №2188"	"УИК №2189"	"УИК №2190"	"УИК №2191"	"УИК №2192"	"УИК №2193"	"УИК №2194"	"УИК №2195"	"УИК №2196"	"УИК №2197"	"УИК №2198"	"УИК №2199"	"УИК №2200"	"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2294"	"УИК №2622"	"УИК №2623"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	9	4	6	7	12	10	10	13	8	5	4	12	6	0	4	7	3	12	3	6	2	4	4	8	7	8	14	3	5	8	8	7	3	10	6	11	8	3	7	8	8	7	4	7	7	5	6	11	4	10	8	5	3	9	5	4	18	12	7	6	13	5	6	6	6	7	10	7	17	4	8	3	5	9	10	5	6	11	3	6	7	10	9	4	11	9	4	7	11	14	10	11	8	3	9	7	7	4	8	12	2	4	5	4	6	9	6	7	9	5	3	7	2	7	4	8	13	10	4	2	8	7	10	3	0	2	
104	146	107	94	94	119	94	156	131	98	72	120	96	116	133	66	105	126	114	113	90	151	93	86	64	127	133	168	164	98	153	115	142	101	81	130	128	141	125	174	164	115	107	130	66	143	117	134	136	149	87	98	127	114	53	165	138	9	186	127	233	130	138	147	157	121	134	140	157	130	193	194	138	74	168	180	138	147	135	123	188	190	108	128	162	118	131	177	153	145	211	192	178	200	180	199	168	192	117	117	149	129	62	73	151	153	89	100	125	145	143	87	117	100	91	87	148	129	219	92	127	87	126	163	168	107	50	12	
41	58	25	21	43	55	43	58	46	44	30	42	30	45	52	26	33	60	36	62	37	73	42	44	38	54	42	64	57	37	75	38	62	50	28	50	63	62	75	66	68	86	50	44	41	78	38	54	39	35	31	43	57	42	22	48	67	9	74	62	71	56	59	53	56	49	58	48	78	40	77	66	49	34	47	92	54	66	61	57	63	111	50	67	73	38	53	64	44	62	67	72	80	78	53	74	97	102	49	53	59	53	39	50	64	66	27	35	40	58	46	53	40	49	53	34	70	62	79	43	51	51	69	53	53	50	29	90	
692	885	568	411	661	748	745	908	860	719	444	723	525	715	805	510	662	772	600	869	557	868	515	571	578	798	757	944	995	594	776	685	708	594	468	822	725	975	739	993	861	816	740	789	488	664	717	707	747	589	676	686	737	655	385	833	840	325	997	776	1353	806	894	723	984	719	870	892	1038	759	1160	915	877	459	837	974	727	986	735	793	973	1018	675	824	901	665	821	1204	753	1005	1173	1360	1067	1193	973	1145	1090	1133	686	762	876	850	446	577	963	869	575	564	722	995	847	680	690	729	612	690	862	759	1222	526	684	570	800	1026	942	575	364	191	
26	17	27	19	17	23	37	21	28	12	13	20	22	15	17	16	15	17	12	10	17	8	7	3	8	16	10	16	21	8	17	15	22	15	10	11	14	12	17	18	21	13	12	12	5	13	14	15	7	5	19	11	11	12	13	9	16	3	17	17	16	9	15	14	15	13	13	27	10	13	26	13	13	6	17	19	10	18	14	11	17	28	11	10	13	18	7	20	15	15	13	11	17	18	24	24	21	23	14	9	12	20	9	8	11	13	10	12	14	11	14	17	9	14	8	12	18	12	30	9	12	14	18	25	22	4	7	23	
8	17	9	7	3	9	8	8	9	8	3	3	1	3	12	0	4	8	6	10	6	9	6	9	3	9	7	11	7	4	12	4	11	7	3	10	4	16	7	10	10	4	6	13	1	5	10	10	6	8	5	6	1	5	5	8	11	2	17	4	13	11	8	10	8	14	4	4	8	10	14	20	14	1	4	6	10	18	12	4	11	12	5	12	3	8	4	10	9	10	11	12	9	16	8	11	7	22	6	10	7	4	3	8	11	10	5	2	4	10	11	13	10	12	9	4	12	9	12	4	3	4	6	10	7	2	6	0	
18	20	9	4	12	13	11	6	13	8	4	10	9	10	12	6	11	9	14	10	2	14	2	7	5	6	7	7	7	4	14	12	10	6	10	10	8	6	8	11	11	15	13	4	6	11	6	12	5	5	11	5	13	4	5	6	4	0	8	11	5	6	7	15	7	10	11	7	5	8	14	18	9	5	6	6	11	7	8	12	10	10	7	10	9	13	14	15	5	11	14	17	12	10	15	11	13	15	4	4	9	10	1	5	11	13	12	8	5	16	7	9	7	6	8	7	16	11	13	5	7	4	15	16	11	3	2	6	
13	14	21	18	3	17	20	14	17	15	12	15	9	10	13	8	9	21	11	19	8	10	16	7	5	6	12	13	17	11	13	5	11	10	6	12	7	8	12	16	21	8	12	13	7	6	12	6	2	13	4	12	14	5	6	6	7	0	17	8	14	9	5	7	10	12	6	18	11	6	17	18	8	4	19	14	4	9	9	11	8	6	7	21	13	6	12	14	8	10	12	22	15	9	17	19	9	13	9	6	8	12	3	3	8	7	11	9	11	17	15	13	10	17	10	10	22	8	17	12	7	11	11	16	9	8	3	3	
