"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №2260"	"УИК №2285"	"УИК №2300"	
2125	1250	1116	1040	1411	1978	1503	1300	1106	1088	1098	1417	1162	1299	1382	1429	1351	1578	2058	1610	1160	1072	1106	1842	1449	1537	215	1499	1540	1502	1466	2378	1017	1867	1539	1666	1789	1009	1043	1388	1530	1189	1676	917	2197	1473	1495	1519	1898	1273	1434	1910	2151	1561	2483	219	1709	
2000	1100	900	900	1300	1900	1400	1200	1100	900	900	1300	1000	1100	1200	1200	1200	1500	1800	1400	1000	900	900	1600	1300	1500	218	1400	1500	1400	1400	1900	900	1600	1400	1400	1500	900	900	1300	1400	1100	1500	800	1900	1400	1400	1300	1800	1200	1300	1800	1900	1400	2300	223	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1427	812	740	695	912	1352	891	837	716	705	763	900	750	829	966	935	902	1037	1251	1089	807	709	754	1338	1099	970	101	938	1015	997	951	1670	639	1333	1055	1106	1207	695	673	837	1008	774	1204	629	1489	906	1031	980	1309	822	981	1543	1685	1043	1758	87	1172	
49	35	64	49	39	50	105	76	46	34	65	107	94	52	64	79	78	67	38	46	55	64	72	81	50	62	112	53	71	71	77	96	65	60	61	92	80	43	41	124	74	41	60	48	77	79	106	50	73	69	58	58	39	53	23	132	21	
524	253	96	156	349	498	404	287	338	161	72	293	156	219	170	186	220	396	511	265	138	127	74	181	151	468	5	409	414	332	372	134	196	207	284	202	213	162	186	339	318	285	236	123	334	415	263	270	418	309	261	199	176	304	519	4	407	
49	35	64	49	39	50	105	76	46	34	65	107	94	52	64	79	78	67	38	46	55	64	72	81	50	62	112	53	71	71	77	96	65	60	61	92	80	43	41	124	74	41	60	48	77	79	106	50	73	69	58	58	39	53	23	132	21	
1424	812	740	695	912	1352	890	837	716	705	763	900	750	829	966	935	902	1037	1251	1087	807	709	754	1335	1099	970	101	938	1015	997	951	1670	638	1333	1055	1106	1206	695	667	837	1006	774	1204	629	1489	905	1031	980	1309	822	981	1540	1685	1043	1756	87	1171	
17	25	16	13	22	32	30	13	18	21	9	15	12	18	22	13	18	19	27	21	21	16	13	31	22	23	0	19	20	27	18	33	16	24	19	14	25	13	12	18	13	13	83	13	33	15	17	20	23	19	20	31	31	24	9	1	28	
1456	822	788	731	929	1370	965	900	744	718	819	992	832	863	1008	1001	962	1085	1262	1112	841	757	813	1385	1127	1009	213	972	1066	1041	1010	1733	687	1369	1097	1184	1261	725	696	943	1067	802	1181	664	1533	969	1120	1010	1359	872	1019	1567	1693	1072	1770	218	1164	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	5	4	1	6	13	6	2	6	2	8	7	8	4	8	6	6	11	13	13	5	13	5	13	4	10	0	12	5	8	7	8	5	14	17	11	15	6	5	12	20	5	12	7	13	5	12	18	15	8	10	9	20	7	7	4	13	
185	105	97	85	147	183	134	125	82	89	89	124	103	118	127	116	129	128	164	196	123	100	117	196	222	137	2	134	125	133	117	266	74	192	150	160	196	88	104	110	125	123	151	101	206	127	129	141	185	103	140	235	258	160	277	13	208	
108	76	53	64	72	104	85	62	52	45	60	89	64	72	86	67	39	82	84	69	54	56	51	125	80	78	1	80	68	57	93	112	51	97	79	84	90	46	41	76	71	64	74	48	97	53	73	91	79	47	59	115	137	81	70	14	72	
1066	611	586	538	666	1018	703	672	566	537	622	725	616	620	741	767	731	796	915	781	622	543	604	972	755	747	209	709	816	801	740	1262	515	1002	789	863	910	550	515	680	795	575	886	473	1146	737	849	704	1007	662	751	1093	1191	756	1282	178	791	
34	11	14	15	19	18	16	17	13	18	11	16	21	23	12	22	21	34	41	23	22	12	18	39	29	17	0	14	26	16	16	44	19	23	24	26	21	12	10	21	22	14	22	10	27	16	14	27	31	24	22	51	41	31	59	3	32	
20	2	9	12	4	3	7	7	2	9	8	9	6	5	6	5	7	12	12	5	1	6	3	10	7	3	0	6	6	8	7	14	10	7	11	12	6	6	4	8	6	2	5	6	12	10	5	7	12	5	5	15	6	9	10	2	8	
18	2	14	7	5	9	5	3	9	4	12	11	6	5	13	6	9	8	13	12	6	9	4	12	11	2	0	6	4	5	8	11	4	13	11	7	7	7	8	15	13	5	16	5	19	9	16	10	16	11	9	18	20	12	35	2	19	
13	10	11	9	10	22	9	12	14	14	9	11	8	16	15	12	20	14	20	13	8	18	11	18	19	15	1	11	16	13	22	16	9	21	16	21	16	10	9	21	15	14	15	14	13	12	22	12	14	12	23	31	20	16	30	2	21	
