"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	
1664	870	1366	179	513	141	645	582	350	280	319	370	466	166	370	272	
1600	800	1300	160	450	140	600	500	300	250	300	300	450	150	350	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
976	456	784	117	246	60	348	262	192	124	151	192	232	91	180	84	
29	66	43	7	44	12	111	94	36	24	23	50	71	24	30	38	
595	278	473	36	160	68	141	144	72	102	126	58	147	35	140	128	
29	66	43	7	44	12	111	94	36	24	23	50	71	24	30	38	
976	456	784	117	246	60	348	262	192	124	151	192	232	91	180	84	
17	9	9	0	7	0	2	0	5	1	0	3	2	0	4	1	
988	513	818	124	283	72	457	356	223	147	174	239	301	115	206	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	6	1	6	0	1	4	1	0	0	0	1	0	2	1	
111	69	104	10	30	4	33	45	21	13	21	18	35	8	32	11	
82	45	66	6	28	6	39	39	14	14	15	21	23	15	25	13	
765	376	611	103	211	62	371	260	183	119	133	198	239	91	145	94	
8	9	11	2	2	0	5	2	1	0	3	1	1	0	0	0	
3	3	7	2	2	0	2	4	1	0	0	0	1	0	2	0	
9	3	9	0	2	0	3	2	0	0	2	1	1	1	0	1	
5	3	4	0	2	0	3	0	2	1	0	0	0	0	0	1	
