"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	
500	521	703	57	137	
475	575	623	88	204	
26	81	441	0	0	
332	265	161	46	99	
31	30	20	3	3	
86	199	1	39	102	
57	111	461	3	3	
332	265	161	46	99	
10	5	48	3	1	
379	371	574	46	101	
0	0	0	0	0	
0	0	0	0	0	

2	1	2	1	2	
24	33	81	0	15	
39	35	78	5	11	
297	291	397	38	69	
12	4	9	2	2	
1	3	2	0	1	
2	3	3	0	1	
2	1	2	0	0	
