"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	
1645	1444	1557	1606	1427	844	1595	1155	1417	1118	1188	954	2105	1379	1312	1263	1589	1960	1056	1150	997	1058	1353	1115	1641	1843	1506	1416	1206	1116	1050	1029	1262	1718	1426	1520	1463	1544	1774	1141	1153	1480	1676	1155	965	1324	970	982	229	265	
1610	1410	1490	1470	1490	780	1470	1050	1310	1020	1010	870	1910	1240	1220	1160	1420	1760	1150	1070	960	1010	1300	990	1500	1670	1400	1320	1110	1030	1100	940	1160	1590	1310	1420	1370	1440	1640	1040	1050	1330	1550	1060	880	1200	890	900	260	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1371	1204	1265	1296	1147	702	1333	931	1211	883	969	818	1714	1134	1042	983	1224	1624	1006	946	795	869	1086	917	1038	987	1291	1198	985	938	838	830	1022	1452	1116	1298	1235	1268	1567	957	919	1207	1434	933	817	1044	823	799	229	265	
38	31	52	56	47	15	49	44	60	67	22	50	61	45	120	142	69	114	50	55	58	30	52	44	95	45	19	34	33	55	44	35	39	88	83	12	57	29	32	68	116	38	29	72	25	108	30	28	0	0	
201	175	173	118	296	63	88	75	39	70	19	2	135	61	58	35	127	22	94	69	107	111	162	29	367	638	90	88	92	37	218	75	99	50	111	110	78	143	41	15	15	85	87	55	38	48	37	73	31	35	
38	31	52	56	47	15	49	44	60	67	22	50	61	45	120	142	69	114	50	55	58	30	52	44	95	45	19	34	33	55	44	35	39	88	83	12	57	29	32	68	116	38	29	72	25	108	30	28	0	0	
1371	1204	1264	1296	1140	702	1333	931	1211	883	969	818	1714	1134	1042	983	1224	1624	1006	946	795	869	1086	917	1032	987	1291	1198	985	938	830	830	1022	1452	1116	1286	1235	1268	1567	957	919	1207	1434	933	817	1044	823	799	229	265	
11	4	15	8	0	10	0	4	14	10	23	0	18	5	7	0	16	3	0	0	3	0	0	6	14	6	0	0	3	0	1	18	4	10	8	11	9	0	6	2	0	0	12	23	10	0	0	0	0	24	
1398	1231	1301	1344	1187	707	1382	971	1257	940	968	868	1757	1174	1155	1125	1277	1735	1056	1001	850	899	1138	955	1113	1026	1310	1232	1015	993	873	847	1057	1530	1191	1287	1283	1297	1593	1023	1035	1245	1451	982	832	1152	853	827	229	241	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	8	3	8	8	5	10	14	4	3	8	2	10	3	7	10	4	8	6	5	3	5	12	5	6	4	4	6	3	0	2	1	34	10	13	5	8	6	2	4	4	11	5	10	0	11	3	3	1	0	
104	93	99	102	88	65	107	73	156	96	116	65	132	88	87	85	97	201	82	77	64	67	86	72	172	167	91	92	76	75	105	87	79	120	90	100	99	98	154	12	7	93	109	74	62	93	99	62	17	18	
41	32	20	33	22	9	30	10	46	35	35	27	16	27	35	19	37	20	23	13	15	27	12	10	67	52	50	20	47	34	34	31	63	25	13	26	38	49	60	5	2	23	82	29	30	11	35	37	6	9	
1119	986	1066	1096	964	581	1132	795	947	783	787	712	1476	977	936	912	1047	1437	867	831	708	728	934	797	812	752	1087	1080	822	814	709	701	860	1253	972	1057	1043	1051	1351	986	1005	1008	1189	795	675	945	686	670	203	198	
8	23	13	23	12	3	22	9	16	6	7	3	9	7	11	23	6	23	4	3	5	5	10	3	13	10	2	3	3	2	11	8	12	15	15	10	2	12	6	2	2	6	26	5	9	0	1	3	2	2	
77	68	74	75	70	37	78	54	72	9	2	48	97	65	70	62	71	30	59	55	47	49	63	53	20	18	63	14	54	55	6	9	3	86	66	71	71	72	9	10	11	68	18	54	46	70	25	46	0	14	
16	12	12	2	5	6	2	4	9	4	6	2	6	4	3	12	4	7	6	10	5	5	10	8	6	9	6	3	4	0	1	2	3	9	12	4	3	4	7	1	2	15	9	5	4	0	3	4	0	0	
21	9	14	5	18	1	1	12	7	4	7	9	11	3	6	2	11	9	9	7	3	13	11	7	17	14	7	14	6	13	5	8	3	12	10	14	19	5	4	3	2	21	13	10	6	22	1	2	0	0	
