"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №40"	"УИК №43"	"УИК №49"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №88"	"УИК №649"	"УИК №650"	"УИК №659"	"УИК №1736"	"УИК №1737"	"УИК №1739"	"УИК №3570"	"УИК №3571"	"УИК №3572"	"УИК №3583"	"УИК №3584"	"УИК №3662"	"УИК №3663"	"УИК №3664"	"УИК №3665"	"УИК №3666"	"УИК №3667"	"УИК №3668"	"УИК №3669"	"УИК №3670"	"УИК №3674"	"УИК №3675"	"УИК №3676"	"УИК №4198"	"УИК №4200"	
2049	2173	1837	1952	1964	2160	2641	2422	1840	1820	1880	1890	1538	1854	2263	1878	1895	2321	1805	1403	1464	1734	1822	1703	2384	2471	2648	2378	2493	2291	2255	2285	1749	1570	2205	1935	1385	1714	1290	2800	1531	2140	2440	1407	1349	2437	2373	2289	2304	2787	2610	2298	639	2400	1978	2378	1752	1923	1930	1506	1585	1691	1753	1506	2135	1706	1602	2004	1634	2002	1924	1830	1644	1100	1633	1427	2076	1613	1213	1627	1478	1206	1331	1021	1307	1510	1420	1917	752	509	
1800	1700	1800	1800	1700	1900	2200	2300	1600	1600	1850	1700	1200	1800	2100	1700	1800	2000	1500	1200	1200	1500	1500	1500	2000	2200	2300	2300	2100	2200	2100	2200	1600	1400	2000	1800	1100	1600	1100	2700	1500	2400	1900	1200	1100	2400	2400	2100	2200	2400	2300	2000	500	1900	1750	2000	1800	1800	1700	1300	1450	1400	1500	1450	2100	1600	1300	1500	1400	1800	1900	1750	1300	1100	1400	1550	1700	1400	1100	1500	1400	1250	1200	900	1100	1350	1200	1600	750	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1612	1217	1434	1103	1229	1136	1744	1390	1309	1033	1675	1159	858	1206	1366	1202	1322	1350	1259	951	922	1109	1102	970	1331	1626	1339	1318	1295	1393	1235	1305	938	1004	915	953	697	1031	725	2185	943	2074	1343	798	824	2091	2280	1592	2004	2154	2118	1381	469	1617	1582	1805	1707	1289	1072	1214	1257	1192	1217	1087	1466	1211	1127	1282	1165	1431	1510	1363	1152	703	1089	1069	1284	941	797	1028	976	869	863	822	688	1097	1073	846	605	346	
20	319	72	28	72	61	109	96	28	77	5	208	15	101	109	46	17	50	2	99	7	90	109	66	39	129	56	66	150	66	43	53	23	38	19	115	7	21	30	20	9	66	71	130	14	89	12	52	32	83	26	137	11	7	1	6	10	206	182	9	5	2	3	109	203	0	1	2	3	6	83	8	10	102	8	2	14	48	27	112	138	66	23	2	61	13	3	120	61	160	
168	164	294	668	398	703	344	814	263	490	170	333	327	493	625	452	461	600	238	150	271	301	289	464	630	445	905	916	655	741	822	842	639	358	1066	732	396	548	344	495	548	260	486	272	262	220	108	456	164	163	156	481	20	276	167	189	83	305	437	77	188	206	280	254	431	389	172	218	230	363	307	379	138	295	303	479	401	411	276	360	285	315	314	76	351	240	124	632	84	44	
20	319	72	28	72	61	109	96	28	77	5	208	15	101	109	46	17	50	2	99	7	90	109	66	39	129	56	66	150	66	43	53	23	38	19	115	7	21	30	20	9	66	71	130	14	89	12	52	32	34	26	137	11	7	1	6	10	206	182	9	5	2	3	109	203	0	1	2	3	6	83	8	10	102	8	2	14	48	27	112	138	66	22	2	61	13	3	120	61	160	
1592	1217	1434	1103	1229	1136	1744	1390	1309	1032	1675	1159	858	1206	1366	1156	1322	1350	1259	951	922	1109	1102	970	1331	1626	1339	1318	1295	1393	1235	1305	938	1000	915	953	694	1031	725	2185	943	2074	1343	798	824	2091	2175	1592	2004	2127	2118	1381	469	1617	1582	1801	1707	1289	1072	1214	1257	1192	1217	1087	1466	1211	1127	1282	1165	1430	1510	1363	1152	703	1089	1069	1284	941	797	1028	976	869	239	822	688	1097	1073	846	605	346	
114	18	24	11	17	15	28	19	21	18	15	12	12	9	60	14	30	15	10	7	23	22	20	9	13	29	31	32	15	17	27	17	9	15	16	12	22	10	20	22	12	23	21	3	14	36	19	18	57	23	25	24	6	17	13	57	21	16	26	20	14	15	26	23	16	10	14	13	21	25	23	19	15	11	13	9	12	13	8	18	11	7	1	7	14	14	9	12	10	6	
1498	1518	1482	1120	1284	1182	1825	1467	1316	1091	1665	1355	861	1298	1415	1188	1309	1385	1251	1043	906	1177	1191	1027	1357	1726	1364	1352	1430	1442	1251	1341	952	1023	918	1056	679	1042	735	2183	940	2117	1393	925	824	2144	2168	1626	1979	2138	2119	1494	474	1607	1570	1750	1696	1479	1228	1203	1248	1179	1194	1173	1653	1201	1114	1271	1147	1411	1570	1352	1147	794	1084	1062	1286	976	816	1122	1103	928	260	817	735	1096	1067	954	656	500	
0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	5	7	11	12	7	11	12	9	11	12	6	7	16	15	8	5	4	10	4	6	9	15	10	7	12	12	14	20	7	5	8	10	4	8	14	6	14	7	7	13	14	21	11	7	5	7	8	7	6	18	8	1	7	11	7	10	10	14	9	8	8	10	8	9	9	6	4	3	1	9	10	3	3	8	4	9	5	10	7	13	6	1	6	11	9	7	8	3	2	
146	132	129	157	157	143	200	181	137	124	202	136	116	168	160	154	118	203	188	241	130	117	140	122	155	163	175	137	169	158	126	139	119	100	103	129	73	142	93	251	139	172	179	97	102	162	178	152	141	148	177	158	34	219	179	156	147	175	153	129	177	146	147	175	172	209	184	152	99	235	146	174	139	105	138	156	140	132	90	175	137	140	39	109	96	143	124	111	60	16	
42	64	53	63	71	55	88	69	48	49	83	59	46	64	73	62	54	69	57	118	36	52	45	42	65	76	74	72	74	82	67	73	58	46	59	69	35	55	35	107	52	149	50	47	36	175	101	90	70	189	130	75	22	85	53	51	125	50	53	50	59	59	54	45	65	55	41	51	48	48	66	50	35	16	50	59	55	48	31	43	38	37	13	31	37	58	51	52	54	28	
1233	1223	1242	827	981	903	1416	1119	1063	843	1272	1085	647	996	1067	894	1089	1015	936	611	691	922	921	791	1037	1395	1046	1071	1055	1107	982	1041	707	814	699	785	517	760	561	1726	667	1660	1031	709	621	1655	1805	1308	1679	1649	1689	1180	406	1158	1258	1400	1340	1173	938	941	933	901	933	880	1325	854	800	931	951	971	1296	1035	879	640	826	783	1021	740	627	819	844	687	189	612	547	826	841	742	501	437	
27	49	23	31	25	29	40	36	13	30	32	42	22	23	39	31	21	34	35	36	25	33	37	22	37	37	18	20	41	33	31	35	25	20	16	20	17	26	20	43	25	75	49	18	25	85	41	30	36	81	45	35	5	70	27	65	42	37	32	37	32	33	26	33	32	41	55	82	34	82	18	30	39	12	21	30	25	15	21	29	32	24	9	31	14	25	26	20	22	9	
5	4	6	9	7	5	7	10	14	5	15	6	9	7	16	5	7	6	7	6	5	5	5	11	9	11	13	8	19	6	9	9	16	7	4	14	4	9	3	11	11	13	8	10	7	12	8	12	12	17	9	7	3	14	10	10	9	3	4	5	11	8	7	4	4	1	4	11	1	12	7	11	5	2	9	11	7	5	7	6	5	5	1	4	8	7	3	4	2	2	
5	16	14	12	9	16	21	11	15	5	19	10	11	13	16	10	11	26	11	3	4	16	7	12	19	14	8	14	25	17	15	12	5	13	5	7	10	9	3	19	10	9	16	11	10	18	11	12	13	21	12	14	2	31	17	23	12	10	9	13	10	9	3	9	19	13	9	22	5	29	16	15	25	8	13	12	9	10	11	17	17	13	1	11	10	10	8	8	9	2	
30	25	8	10	22	24	42	29	17	24	30	11	3	11	29	24	4	28	7	24	9	23	21	17	28	18	18	16	27	32	16	24	12	19	24	18	17	27	13	19	23	25	39	22	16	32	17	14	21	27	39	17	1	23	15	38	11	21	25	19	18	15	14	19	27	19	15	18	6	33	12	27	22	8	19	7	20	21	19	26	17	16	7	13	12	18	7	9	5	4	
