"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2317"	"УИК №2318"	
1505	2042	1611	1575	1755	1463	1642	1555	1483	1539	1450	1583	1434	1592	1690	1624	1576	1749	430	273	1325	1655	1434	1411	2480	1487	1606	
1500	1750	1650	1500	1700	1500	1650	1550	1500	1500	1450	1600	1450	1600	1700	1600	1600	1700	400	250	1350	1650	1450	1400	2100	1500	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1131	1644	1086	1005	1125	957	1153	1079	929	1067	1033	1192	1029	1122	1199	1151	1124	1127	273	157	828	1112	1010	1070	2044	992	1087	
10	19	73	28	146	42	42	22	23	32	53	29	25	37	34	17	29	52	17	13	24	38	32	10	7	30	49	
359	87	491	467	429	501	455	449	548	401	364	379	396	441	467	432	447	521	110	80	498	500	408	320	49	478	464	
10	19	73	28	146	42	42	22	23	32	53	29	25	37	34	17	29	52	17	13	24	38	32	10	7	30	49	
1131	1644	1086	1005	1125	957	1153	1079	929	1067	1032	1192	1029	1122	1197	1150	1123	1127	273	157	825	1112	1009	1070	2044	992	1087	
19	22	17	12	19	17	11	17	16	13	7	18	13	17	19	16	22	21	3	1	7	21	13	16	25	14	13	
1122	1641	1142	1021	1252	982	1184	1084	936	1086	1078	1203	1041	1142	1212	1151	1130	1158	287	169	842	1129	1028	1064	2026	1008	1123	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	12	7	12	14	8	15	5	7	9	6	12	5	11	7	9	5	4	0	0	2	11	5	9	13	4	6	
138	167	106	102	142	83	111	99	88	117	114	108	117	120	120	117	112	125	26	18	101	96	89	114	225	88	118	
42	50	48	50	73	65	70	68	62	53	58	49	54	50	60	55	48	76	22	20	48	66	63	52	115	79	61	
851	1328	896	808	959	789	936	871	738	849	840	961	824	895	972	900	924	880	231	121	665	906	824	837	1573	792	879	
35	36	38	21	25	17	23	14	17	16	21	32	20	32	22	36	22	32	3	4	8	18	15	20	54	18	16	
7	9	6	6	14	3	7	5	9	15	10	14	5	9	3	9	4	5	2	2	5	7	10	4	9	8	13	
12	17	16	12	9	13	4	7	9	6	10	15	9	11	14	15	5	19	1	3	6	13	9	9	20	11	8	
25	22	25	10	16	4	18	15	6	21	19	12	7	14	14	10	10	17	2	1	7	12	13	19	17	8	22	
