"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	
181	482	2267	194	186	150	279	130	212	159	193	150	111	331	228	117	158	156	
182	497	2387	203	184	145	291	128	210	156	185	146	106	344	226	116	165	163	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
158	377	1803	155	154	127	244	105	169	132	174	125	95	285	183	101	130	122	
10	40	192	16	11	12	8	10	17	9	6	9	5	13	18	6	9	14	
14	80	392	32	19	6	39	13	24	15	5	12	6	46	25	9	26	27	
10	40	192	16	11	12	8	10	17	9	6	9	5	13	18	6	9	14	
158	377	1799	155	154	127	244	105	169	132	174	125	95	285	183	101	130	122	
0	3	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
168	414	1978	171	165	138	252	115	186	141	180	134	100	298	201	107	139	136	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	9	1	0	0	1	1	2	0	0	1	0	0	1	0	1	0	
5	28	99	9	9	6	14	5	5	4	9	5	2	14	4	3	3	4	
4	6	34	6	5	3	5	2	5	7	2	4	2	10	10	4	4	8	
155	376	1796	155	151	127	229	105	172	129	168	122	96	274	185	98	124	123	
1	2	8	0	0	1	1	1	0	0	1	0	0	0	0	2	2	0	
1	1	11	0	0	0	1	1	2	0	0	2	0	0	0	0	1	1	
0	0	9	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	
1	0	12	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	
