"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	
633	990	1450	1036	2332	1582	987	1760	1351	2393	1217	1960	1595	2190	2279	2309	2213	2058	1746	2034	921	1238	1907	2009	2126	1521	1747	1711	795	1995	2084	1144	1474	1161	1451	1749	2271	1116	2025	1629	1173	661	1730	1764	1706	2159	2197	2338	2033	1832	1654	136	1966	1896	1058	1969	983	1864	2018	1368	1595	1211	1843	1996	1400	1284	339	166	192	153	2291	
550	884	1200	924	2000	1364	850	1550	1150	2032	1050	1700	1400	1901	1950	1988	1900	1776	1500	1750	800	1050	1650	1700	1836	1300	1550	1450	700	1650	1800	1000	1299	1036	1276	1509	1961	990	1656	1429	1000	602	1500	1500	1500	1900	1900	2000	1700	1600	1450	136	1700	1650	900	1700	851	1600	1670	1200	1350	1050	1575	1700	1200	1095	328	291	500	300	2291	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
412	663	849	720	1503	1073	673	1150	922	1643	810	1347	1074	1522	1582	1540	1461	1382	1145	1279	575	750	1109	1274	1443	1039	1068	1173	468	1309	1331	706	963	764	947	1042	1335	688	1211	1095	800	437	1138	1252	1161	1464	1483	1581	1345	1265	1033	127	1290	1244	724	1341	698	1238	1268	888	997	819	1271	1345	874	820	239	131	112	68	2210	
51	44	32	57	74	60	51	31	50	63	62	64	40	49	62	76	75	69	52	74	23	62	81	104	84	55	65	55	41	27	41	22	39	33	60	49	62	28	87	41	19	9	47	31	71	28	27	22	60	22	83	8	46	45	25	56	28	57	53	62	43	35	63	44	52	43	21	35	74	85	0	
87	177	319	147	423	231	126	369	178	326	178	289	286	330	306	372	364	325	303	397	202	238	460	322	309	206	417	222	191	314	428	272	297	239	269	418	564	274	358	293	181	156	315	217	268	408	390	397	295	313	334	1	364	361	151	303	125	305	349	250	310	196	241	311	274	232	68	125	314	147	81	
51	44	32	57	74	60	51	31	50	63	62	64	40	49	62	76	75	69	52	74	23	62	81	104	84	55	65	55	41	27	41	22	39	33	60	49	62	28	87	41	19	9	47	31	71	28	27	22	60	22	83	8	46	45	25	56	28	57	53	62	43	35	63	44	52	43	21	35	74	85	0	
412	663	849	720	1503	1072	673	1150	922	1643	810	1347	1074	1522	1582	1540	1461	1381	1145	1279	575	750	1109	1274	1443	1039	1068	1173	468	1309	1331	706	963	763	947	1042	1335	688	1209	1095	799	437	1138	1252	1161	1464	1483	1581	1345	1265	1033	127	1290	1244	724	1341	698	1238	1268	888	997	819	1271	1345	874	820	239	131	112	68	2210	
4	3	18	3	11	13	1	15	16	13	2	9	10	5	14	20	14	12	10	8	2	4	13	12	11	10	4	6	0	10	19	9	10	3	10	11	17	3	7	6	5	5	13	4	8	12	8	13	12	7	10	1	17	13	4	12	5	14	12	7	4	15	10	11	6	9	2	0	1	4	49	
459	704	863	774	1566	1119	723	1166	956	1693	870	1402	1104	1566	1630	1596	1522	1438	1187	1345	596	808	1177	1366	1516	1084	1129	1222	509	1326	1353	719	992	793	997	1080	1380	713	1289	1130	813	441	1172	1279	1224	1480	1502	1590	1393	1280	1106	134	1319	1276	745	1385	721	1281	1309	943	1036	839	1324	1378	920	854	258	166	185	149	2161	
