"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	
1989	2019	1897	1879	2065	1980	1971	1828	979	1849	1896	2067	1154	329	389	2051	687	152	266	218	415	311	176	267	279	676	222	846	739	415	295	259	498	296	1094	693	
1800	1950	1850	1800	2000	1950	1850	1700	950	1850	1900	1900	1000	300	380	1900	600	130	230	200	400	270	150	240	250	600	200	850	700	350	250	220	450	250	1000	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1071	1051	985	1084	1137	942	1075	1071	467	1087	1105	1233	535	140	158	1146	391	88	181	148	249	149	56	127	144	365	110	380	399	208	152	133	261	135	518	271	
33	28	21	16	27	25	30	18	12	11	24	25	58	31	47	41	56	19	9	17	31	40	38	34	29	41	18	57	47	42	7	15	49	51	52	56	
696	871	844	700	836	983	745	611	471	752	771	642	407	129	175	713	153	23	40	35	120	81	56	79	77	194	72	413	254	100	91	72	140	64	430	273	
33	28	21	16	27	25	30	18	12	11	24	25	58	31	47	41	56	19	9	17	31	40	38	34	29	41	18	57	47	42	7	15	49	51	52	56	
1069	1051	984	1083	1137	941	1074	1071	467	1087	1104	1233	535	140	158	1146	391	88	181	148	249	149	56	127	144	365	110	380	399	208	152	133	261	135	518	271	
18	27	13	13	8	10	11	10	3	14	19	12	12	1	0	13	2	2	1	0	0	1	0	0	0	5	1	3	2	1	2	1	3	4	3	2	
1084	1052	992	1086	1156	956	1093	1079	476	1084	1109	1246	581	170	205	1174	445	105	189	165	280	188	94	161	173	401	127	434	444	249	157	147	307	182	567	325	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	11	12	14	6	7	11	13	1	6	7	10	6	2	2	13	4	0	1	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	6	2	
168	145	152	152	178	135	173	152	64	153	152	172	61	21	20	164	43	15	17	13	30	14	3	16	5	44	5	53	35	31	17	7	24	14	75	15	
64	61	68	87	90	83	96	82	38	91	72	116	51	19	13	115	48	12	10	5	24	36	8	11	12	51	8	26	31	15	15	21	26	14	45	23	
817	798	728	786	842	700	776	796	355	796	824	909	454	128	167	861	340	78	155	145	221	133	81	126	156	300	112	350	362	196	122	119	254	152	437	272	
16	12	7	23	10	14	15	15	11	16	22	12	5	0	1	4	4	0	2	2	3	1	0	4	0	1	0	2	3	1	0	0	2	0	0	7	
8	9	9	5	9	5	7	10	5	8	13	7	1	0	1	10	1	0	3	0	0	2	1	2	0	0	0	2	3	4	0	0	1	2	4	3	
5	7	4	9	12	8	7	8	2	9	11	15	2	0	1	3	3	0	1	0	2	1	1	1	0	3	2	0	5	2	2	0	0	0	0	0	
4	9	12	10	9	4	8	3	0	5	8	5	1	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	3	
