"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №3634"	"УИК №3635"	
2685	1764	2450	2246	2582	2588	3044	2264	1994	2521	2428	2719	2312	2023	1891	2217	2088	2583	2432	66	270	
2000	1600	2000	2000	2000	2000	2500	2000	1500	2000	2000	2000	1800	1800	1200	2000	2000	2200	2000	68	272	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1470	1090	1307	1193	1348	1453	1661	1295	1144	1407	1257	1506	1132	1198	1038	1236	1167	1400	1355	46	241	
41	61	89	78	63	103	74	63	57	57	81	65	48	44	7	64	64	73	103	11	0	
489	449	604	729	589	444	765	642	299	536	662	429	620	558	155	700	769	727	542	11	31	
41	61	89	78	63	103	74	63	57	57	81	65	48	44	7	64	64	73	103	11	0	
1468	1086	1304	1190	1346	1449	1657	1293	1142	1407	1257	1504	1132	1198	1034	1235	1164	1400	1354	46	241	
28	14	15	19	22	37	33	27	43	15	11	36	20	19	27	16	19	24	11	1	11	
1481	1133	1378	1249	1387	1515	1698	1329	1156	1449	1327	1533	1160	1223	1014	1283	1209	1449	1446	56	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	7	19	8	19	19	21	21	13	18	12	16	9	14	10	12	11	14	16	0	1	
193	146	153	124	182	202	201	179	160	154	167	186	162	159	141	166	161	197	172	6	14	
52	65	49	40	41	32	42	58	46	63	34	65	44	62	27	43	39	55	55	2	32	
985	799	947	882	815	950	1167	898	761	998	948	989	810	827	603	876	816	971	1007	44	162	
92	61	88	85	137	142	139	62	73	93	76	133	63	73	117	81	71	93	76	3	11	
6	6	11	20	14	6	12	10	11	11	10	6	4	13	6	4	7	10	12	0	1	
23	13	22	29	44	23	35	25	35	22	30	45	21	34	41	28	23	36	32	0	5	
115	36	89	61	135	141	81	76	57	90	50	93	47	41	69	73	81	73	76	1	4	
