"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	
544	148	436	374	91	181	638	82	392	779	1580	963	654	
560	158	455	388	92	188	665	85	438	802	1597	990	682	
0	0	0	0	0	0	0	0	0	0	0	0	0	
282	89	190	181	48	97	310	41	192	321	792	494	307	
30	5	34	16	8	15	20	2	18	31	35	10	12	
248	64	231	191	36	76	335	42	228	450	770	486	363	
30	5	34	16	8	15	20	2	18	31	35	10	12	
282	89	190	181	48	97	310	41	192	321	792	494	307	
2	0	4	4	2	0	3	0	2	3	6	5	1	
310	94	220	193	54	112	327	43	208	349	821	499	318	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	1	0	2	4	0	0	2	7	0	1	
39	8	45	22	0	12	63	14	18	60	200	121	88	
16	7	13	9	2	9	27	0	16	24	52	36	18	
251	78	158	161	48	89	229	27	174	257	552	338	207	
2	0	2	0	0	0	0	2	0	4	5	0	1	
1	1	1	0	4	0	1	0	0	2	2	2	2	
0	0	0	0	0	0	3	0	0	0	1	1	0	
0	0	0	0	0	0	0	0	0	0	2	1	1	
