"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	
433	556	85	263	177	133	229	380	380	231	263	105	257	151	264	565	185	165	227	132	859	684	791	666	779	650	749	764	907	697	708	772	749	642	832	
420	530	80	250	160	120	210	390	340	210	240	100	250	140	240	530	180	160	230	130	700	500	650	530	610	520	590	590	700	560	580	600	600	510	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
227	358	62	144	80	71	164	200	200	158	153	51	132	95	105	403	84	95	171	85	552	315	541	438	455	364	441	405	453	468	451	342	449	391	457	
156	110	16	71	65	45	43	67	68	45	76	21	51	35	86	97	39	53	35	40	51	89	46	24	34	44	52	49	80	29	22	218	31	19	51	
37	62	2	35	15	4	3	123	72	7	11	28	67	10	49	30	57	12	24	5	97	96	63	68	121	112	97	136	167	63	107	40	120	100	142	
156	110	16	71	65	45	43	67	68	45	76	21	51	35	86	97	39	53	35	40	51	89	46	24	34	44	52	49	80	29	22	218	31	19	51	
227	358	62	144	80	71	164	200	200	158	153	51	132	95	105	403	84	95	171	85	552	315	541	438	455	364	441	405	453	468	451	342	449	391	457	
4	0	0	2	0	1	0	2	1	0	1	1	0	0	0	5	0	0	4	1	5	7	6	5	2	5	7	7	6	10	2	0	6	0	5	
379	468	78	213	145	115	207	265	267	203	228	71	183	130	191	495	123	148	202	124	598	397	581	457	487	403	486	447	527	487	471	560	474	410	503	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	0	2	0	0	0	2	2	1	0	0	0	0	0	2	3	0	1	0	3	2	3	3	0	5	5	8	3	4	2	5	5	8	4	
27	73	10	9	8	13	10	26	14	20	10	3	25	4	21	40	5	0	43	6	74	41	63	76	82	46	70	68	63	46	72	62	63	49	71	
34	25	9	10	8	16	14	11	22	12	6	3	6	13	13	24	6	7	19	3	42	28	39	25	33	23	26	34	35	40	32	35	31	25	42	
314	361	58	190	129	77	179	219	225	168	209	65	148	110	155	421	106	140	128	115	460	313	453	341	358	318	375	320	414	386	354	449	363	322	376	
1	2	0	0	0	5	0	2	3	1	0	0	3	2	1	1	0	0	5	0	6	5	7	2	5	2	3	5	5	5	1	3	3	1	0	
0	1	1	1	0	1	4	4	1	1	2	0	0	1	1	5	2	1	3	0	3	3	8	2	2	2	5	8	4	4	2	1	5	0	5	
0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	0	5	1	4	3	5	6	1	2	2	1	8	4	1	3	3	
0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	5	4	4	5	2	1	1	2	1	1	0	1	3	2	2	
