"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	
976	112	169	115	454	102	619	94	91	466	133	93	702	320	73	1219	121	131	210	559	549	159	319	114	259	484	233	193	772	2117	1242	112	219	308	112	161	112	439	174	431	143	250	106	574	105	509	217	475	1737	
1024	119	173	120	467	97	646	90	73	474	130	92	728	326	69	1239	111	138	215	570	555	161	322	117	261	506	240	179	769	2115	1270	115	227	309	117	162	115	439	172	438	141	242	106	608	106	517	219	488	1739	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
543	78	106	69	203	67	272	38	24	273	65	45	339	163	42	496	62	64	79	261	282	82	140	50	167	256	118	97	307	1066	583	65	98	175	58	104	50	234	81	220	85	186	52	273	33	247	114	254	1672	
31	1	19	3	35	16	47	20	1	7	0	0	71	18	4	34	10	6	40	13	18	26	18	1	15	12	4	6	62	42	16	2	12	9	2	7	20	21	21	42	9	10	5	24	9	14	4	14	65	
450	40	48	48	229	14	327	32	48	194	65	47	318	145	23	709	39	68	96	296	255	53	164	66	79	238	118	76	400	1007	671	48	117	125	57	51	45	184	70	176	47	46	49	311	64	256	101	220	2	
31	1	19	3	35	16	47	20	1	7	0	0	71	18	4	34	10	6	40	13	18	26	18	1	15	12	4	6	62	42	16	2	12	9	2	7	20	21	21	42	9	10	5	24	9	14	4	14	65	
543	78	106	69	203	67	272	38	24	273	65	45	339	163	42	496	62	64	79	261	282	82	140	50	167	256	118	97	307	1066	583	65	98	175	58	104	50	234	81	220	85	186	52	273	33	247	114	254	1671	
3	0	0	0	1	2	2	0	0	3	0	0	3	2	0	6	0	0	1	1	2	0	3	1	0	5	0	0	4	10	4	1	0	0	0	1	1	4	0	0	0	1	1	1	0	2	1	0	9	
571	79	125	72	237	81	317	58	25	277	65	45	407	179	46	524	72	70	118	273	298	108	155	50	182	263	122	103	365	1098	595	66	110	184	60	110	69	251	102	262	94	195	56	296	42	259	117	268	1727	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	0	0	2	1	2	1	0	0	1	0	2	0	0	2	1	0	2	1	3	0	0	0	0	2	0	0	1	1	1	0	0	2	1	0	0	3	1	0	1	1	1	5	1	3	0	1	3	
66	12	14	2	37	7	22	3	1	53	4	0	23	24	2	69	3	4	9	33	36	4	11	3	9	35	30	10	54	168	88	1	10	20	12	16	8	26	7	28	4	9	1	23	3	13	18	22	131	
8	3	2	0	22	8	10	4	1	22	3	3	17	10	3	45	3	1	8	14	21	2	10	2	17	19	4	7	15	46	42	4	10	9	3	6	6	18	1	22	4	2	2	4	7	9	4	5	89	
481	63	107	69	172	65	278	50	22	197	57	41	359	144	41	393	63	63	99	216	236	100	129	45	156	207	85	84	286	861	462	61	90	152	44	86	55	199	92	207	84	181	48	257	31	234	94	237	1474	
8	1	0	1	2	0	1	0	1	2	0	0	2	0	0	3	1	2	0	5	0	1	1	0	0	0	1	2	6	8	1	0	0	0	0	1	0	3	0	1	0	1	3	2	0	0	0	1	13	
1	0	1	0	1	0	1	0	0	1	0	1	2	0	0	6	1	0	0	1	1	1	2	0	0	0	2	0	1	4	1	0	0	0	0	1	0	2	0	3	0	0	0	4	0	0	1	1	6	
1	0	0	0	0	0	3	0	0	2	0	0	1	0	0	2	0	0	0	2	1	0	2	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	7	
2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	4	
