"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	
2442	2451	2794	2247	2406	2472	2343	2344	2333	2299	2287	3029	
2470	2410	2500	2220	2460	2500	2310	2250	2410	2320	2310	2825	
0	0	0	0	0	0	0	0	0	0	0	0	
1532	1571	1780	1273	1545	1658	1567	1599	1478	1541	1515	2183	
61	56	43	74	30	26	22	24	46	44	46	30	
877	783	677	873	885	816	721	627	886	735	749	612	
61	56	43	74	30	26	22	24	46	44	46	30	
1532	1570	1780	1273	1541	1658	1567	1596	1478	1541	1515	2183	
16	12	15	12	18	16	17	11	21	19	12	24	
1577	1614	1808	1335	1553	1668	1572	1609	1503	1566	1549	2189	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

11	15	13	8	7	7	15	13	10	11	16	12	
174	188	178	176	190	197	181	193	184	199	199	267	
113	119	158	89	87	97	77	107	84	83	80	148	
1239	1247	1405	1021	1234	1323	1237	1244	1188	1212	1186	1686	
11	14	15	14	14	12	23	16	11	22	23	29	
12	6	17	13	11	13	16	15	10	16	14	11	
6	12	12	6	2	5	13	9	7	14	12	21	
11	13	10	8	8	14	10	12	9	9	19	15	
